Date,MSCI World Index TR,Barclays Global Aggregate Bond Index TR,Bloomberg Commodity Index TR,S&P 500 Total Return Index,MSCI World Index TR Return,Barclays Global Aggregate Bond Index TR Return,Bloomberg Commodity Index TR Return,S&P 500 Total Return Index Return
2010-01-01,2796.035,400.6166,279.2789,1837.5,,,,
2010-01-02,2796.035,400.6166,279.2789,1837.5,0.00000,0.00000,0.00000,0.00000
2010-01-03,2796.035,400.6166,279.2789,1837.5,0.00000,0.00000,0.00000,0.00000
2010-01-04,2846.213,402.6309,285.5306,1867.06,0.01795,0.00503,0.02239,0.01609
2010-01-05,2854.576,403.782,285.1512,1872.9,0.00294,0.00286,-0.00133,0.00313
2010-01-06,2856.517,402.3549,291.0046,1874.73,0.00068,-0.00353,0.02053,0.00098
2010-01-07,2855.086,401.4552,286.6248,1882.34,-0.00050,-0.00224,-0.01505,0.00406
2010-01-08,2867.904,401.956,285.7528,1887.77,0.00449,0.00125,-0.00304,0.00288
2010-01-09,2867.904,401.956,285.7528,1887.77,0.00000,0.00000,0.00000,0.00000
2010-01-10,2867.904,401.956,285.7528,1887.77,0.00000,0.00000,0.00000,0.00000
2010-01-11,2889.364,404.708,284.9483,1891.06,0.00748,0.00685,-0.00282,0.00174
2010-01-12,2870.536,407.1381,279.255,1873.32,-0.00652,0.00600,-0.01998,-0.00938
2010-01-13,2876.081,406.2879,280.9076,1889.1,0.00193,-0.00209,0.00592,0.00842
2010-01-14,2891.337,406.6324,279.8287,1893.72,0.00530,0.00085,-0.00384,0.00245
2010-01-15,2861.897,406.4667,277.0788,1873.3,-0.01018,-0.00041,-0.00983,-0.01078
2010-01-16,2861.897,406.4667,277.0788,1873.3,0.00000,0.00000,0.00000,0.00000
2010-01-17,2861.897,406.4667,277.0788,1873.3,0.00000,0.00000,0.00000,0.00000
2010-01-18,2868.037,406.9274,277.0788,1873.3,0.00215,0.00113,0.00000,0.00000
2010-01-19,2880.272,405.272,277.8788,1896.72,0.00427,-0.00407,0.00289,0.01250
2010-01-20,2835.415,403.7173,273.5416,1876.9,-0.01557,-0.00384,-0.01561,-0.01045
2010-01-21,2793.406,403.4829,272.1348,1841.39,-0.01482,-0.00058,-0.00514,-0.01892
2010-01-22,2752.71,404.7942,270.6792,1800.61,-0.01457,0.00325,-0.00535,-0.02215
2010-01-23,2752.71,404.7942,270.6792,1800.61,0.00000,0.00000,0.00000,0.00000
2010-01-24,2752.71,404.7942,270.6792,1800.61,0.00000,0.00000,0.00000,0.00000
2010-01-25,2750.555,405.0323,271.1089,1808.93,-0.00078,0.00059,0.00159,0.00462
2010-01-26,2737.291,404.6957,268.0933,1801.34,-0.00482,-0.00083,-0.01112,-0.00420
2010-01-27,2729.989,404.4188,262.721,1810.21,-0.00267,-0.00068,-0.02004,0.00492
2010-01-28,2701.509,402.9574,260.9626,1788.97,-0.01043,-0.00361,-0.00669,-0.01173
2010-01-29,2680.472,402.2715,258.9532,1771.4,-0.00779,-0.00170,-0.00770,-0.00982
2010-01-30,2680.472,402.2715,258.9532,1771.4,0.00000,0.00000,0.00000,0.00000
2010-01-31,2680.472,402.2715,258.9532,1771.4,0.00000,0.00000,0.00000,0.00000
2010-02-01,2703.976,401.8433,262.1843,1796.67,0.00877,-0.00106,0.01248,0.01427
2010-02-02,2741.5,402.9346,266.8833,1819.99,0.01388,0.00272,0.01792,0.01298
2010-02-03,2727.664,401.5841,263.2247,1810.64,-0.00505,-0.00335,-0.01371,-0.00514
2010-02-04,2649.773,401.1648,257.5321,1754.3,-0.02856,-0.00104,-0.02163,-0.03112
2010-02-05,2623.769,401.2819,253.9559,1759.38,-0.00981,0.00029,-0.01389,0.00290
2010-02-06,2623.769,401.2819,253.9559,1759.38,0.00000,0.00000,0.00000,0.00000
2010-02-07,2623.769,401.2819,253.9559,1759.38,0.00000,0.00000,0.00000,0.00000
2010-02-08,2617.232,401.232,256.8121,1744.37,-0.00249,-0.00012,0.01125,-0.00853
2010-02-09,2637.766,401.2425,259.5169,1767.18,0.00785,0.00003,0.01053,0.01308
2010-02-10,2639.206,400.2826,260.6496,1763.69,0.00055,-0.00239,0.00436,-0.00197
2010-02-11,2655.699,399.3109,264.2464,1781.01,0.00625,-0.00243,0.01380,0.00982
2010-02-12,2653.629,399.7114,262.8709,1776.5,-0.00078,0.00100,-0.00521,-0.00253
2010-02-13,2653.629,399.7114,262.8709,1776.5,0.00000,0.00000,0.00000,0.00000
2010-02-14,2653.629,399.7114,262.8709,1776.5,0.00000,0.00000,0.00000,0.00000
2010-02-15,2654.062,399.5817,262.8709,1776.5,0.00016,-0.00032,0.00000,0.00000
2010-02-16,2696.007,400.7336,269.5622,1808.72,0.01580,0.00288,0.02545,0.01814
2010-02-17,2717.963,399.6168,268.7545,1816.7,0.00814,-0.00279,-0.00300,0.00441
2010-02-18,2730.378,398.6959,269.2994,1828.81,0.00457,-0.00230,0.00203,0.00667
2010-02-19,2719.776,396.2704,270.5808,1833.09,-0.00388,-0.00608,0.00476,0.00234
2010-02-20,2719.776,396.2704,270.5808,1833.09,0.00000,0.00000,0.00000,0.00000
2010-02-21,2719.776,396.2704,270.5808,1833.09,0.00000,0.00000,0.00000,0.00000
2010-02-22,2732.797,398.1429,269.6467,1831.21,0.00479,0.00473,-0.00345,-0.00103
2010-02-23,2705.854,399.7889,265.4028,1809.05,-0.00986,0.00413,-0.01574,-0.01210
2010-02-24,2717.606,400.5073,267.5967,1826.99,0.00434,0.00180,0.00827,0.00992
2010-02-25,2695.837,400.5936,264.1598,1823.64,-0.00801,0.00022,-0.01284,-0.00183
2010-02-26,2718.258,402.5709,268.5674,1826.27,0.00832,0.00494,0.01669,0.00144
2010-02-27,2718.258,402.5709,268.5674,1826.27,0.00000,0.00000,0.00000,0.00000
2010-02-28,2718.258,402.5709,268.5674,1826.27,0.00000,0.00000,0.00000,0.00000
2010-03-01,2735.924,400.3038,266.8278,1844.87,0.00650,-0.00563,-0.00648,0.01018
