Date,Settlement Volume (ton),Settlement Price (yuan/ton),Turnover (yuan)
2021-06-09,1,52.00,52(CCER)
2021-06-09,8961,85.62,767270(BEA)
2021-05-31,13,45.80,595.40(CCER)
2021-05-31,52,87.50,4550.00(BEA)
2021-05-28,1000,77.30,"77,300.00(BEA)"
2021-05-27,7685,64.35,"494,512.00(BEA)"
2021-05-21,100,79.00,"7,900.00(BEA)"
2021-05-19,2610,81.49,"212,700.00(BEA）"
2021-05-18,1000,87.50,"87,500.00(BEA)"
2021-05-17,11000,84.85,"933,300.00(BEA)"
2021-05-14,5900,79.80,"470,820.00(BEA)"
2021-05-13,1030,81.87,"84,344.00(BEA)"
2021-05-12,500,82.00,"41,000.00(BEA)"
2021-05-11,500,82.00,"41,000.00(BEA)"
2021-05-10,1,80.00,80.00（BEA）
2017-08-09,100,23.30,2330.00（CCER）
2017-08-09,2,46.20,92.40（BEA）
2017-08-08,1460,48.00,70.074.00（BEA）
2017-07-28,27000,50.97,"1,376,300.00(BEA)"
2017-07-27,30003,50.60,"1,518,182.10(BEA)"
2017-07-19,2,50.60,101.20(BEA)
2017-07-12,2137,49.98,"106,809.10（BEA）"
2017-07-07,7206,50.60,"364,623.60(BEA)"
2017-07-04,200,5.20,"1,040.00（CCER）"
2017-07-04,1401,50.56,"70,841.40(BEA)"
2017-07-03,1373,50.51,"69,354.80（BEA）"
2017-06-30,6493,50.33,"326,784.10(BEA)"
2017-06-29,3004,51.11,"153,545.20（BEA）"
2017-06-28,10107,51.11,"516,529.80（BEA）"
2017-06-26,8345,51.18,"427,092.50（BEA）"
2018-07-18,119259,68.11,"8,122,948.80（BEA）"
2018-07-17,61705,68.99,"4,257,032.90（BEA）"
2018-07-16,46251,68.86,"3,184,691.00（BEA）"
2018-07-13,540,7.00,"3,780.00（CCER）"
2018-07-13,450,11.50,"5,175.00（林业碳汇）"
2018-07-13,25835,68.52,"1,770,136.60（BEA）"
2018-07-12,42514,68.31,"2,904,278.80（BEA）"
2018-07-11,1389,7.30,"10,139.70（CCER）"
2018-07-11,68642,68.18,"4,680,326.80（BEA）"
2018-07-10,300,7.00,"2,100.00（CCER）"
2018-07-10,26792,69.10,"1,851,312.00（BEA）"
2018-07-09,8035,69.23,"556,283.40(BEA)"
2018-07-06,355,6.52,"2,315.60（CCER）"
2018-07-06,11011,69.32,"763,306.10（BEA）"
2018-07-05,3230,69.10,"223,189.00（BEA）"
2018-07-30,125260,70.24,"8,798,173.60（BEA）"
2018-07-27,63045,69.52,"4,383,030.70（BEA）"
2018-07-26,800,16.00,"12,800.00(林业碳汇)"
2018-07-26,34700,9.5,"329,650.00(CCER)"
2018-07-26,118481,70.11,"8,306,199.50(BEA)"
2018-07-25,1504,9.53,"14,340.00（CCER）"
2018-07-25,137773,69.33,"9,551,334.80（BEA）"
2018-07-24,47471,69.83,"3,314,731.30（BEA）"
2018-07-23,132756,68.09,"9,039,020.60（BEA）"
2018-07-20,4700,8.00,"37,600.00（CCER）"
2018-07-20,66601,69.44,"4,624,449.60（BEA）"
2018-07-19,387,13.50,"5,224.50（林业碳汇）"
2018-07-19,5881,9.03,"53,123.10（CCER）"
2018-07-19,52023,68.46,"3,561,575.10（BEA）"
2018-07-18,3992,7.64,"30,500.00（CCER）"
2018-09-06,9875,64.00,"632,000.00（BEA）"
2018-08-28,4305,69.60,"299,632.50（BEA）"
2018-08-22,2035,70.63,"143,741.50（BEA）"
2018-08-20,4,70.60,282.40（BEA）
2018-08-15,7010,70.60,"494,937.00(BEA)"
2018-08-14,17310,70.31,"1,217,111.00（BEA）"
2018-08-09,22225,70.71,"1,571,557.80（BEA）"
2018-08-07,19640,70.49,"1,384,408.80（BEA）"
2018-08-06,100,70.90,"7,090.00（BEA）"
2018-08-03,19117,70.74,"1,352,407.70（BEA）"
2018-08-02,100,10.20,"1,020.00（林业碳汇）"
2018-08-02,19275,70.12,"1,351,561.90（BEA）"
2018-08-01,17081,69.62,"1,189,117.70（BEA）"
2018-07-31,30798,70.02,"2,156,335.60（BEA）"
2018-07-30,300,12.80,"3,840.00（林业碳汇）"
2017-10-30,7400,50.65,"374,810.00（BEA）"
2017-10-27,401,56.38,"22,609.30（BEA）"
2017-10-13,100,49.10,"4,910.00（BEA）"
2017-10-12,3,40.90,122.70（BEA）
2017-10-11,4000,28.70,"114,800.00（CCER）"
2017-10-11,2764,51.13,"141,331.20（BEA）"
2017-09-26,104,51.00,"5,304.00（BEA）"
2017-08-28,1001,22.10,"22,122.10(CCER)"
2017-08-28,2,51.00,102.00(BEA)
2017-08-18,1200,22.83,"27,400.00（CCER）"
2017-08-17,100,23,"2,300.00（CCER）"
2017-08-16,202,49.10,9917.60（BEA）
2018-04-25,2000,57.40,"114,800.00 (BEA)"
2018-04-24,9490,47.82,"453,834.00 (BEA)"
2018-04-20,27000,52.24,"1,410,500.00(BEA)"
2018-04-19,2452,47.10,"115,489.20(BEA）"
2018-04-13,5000,58.92,"294,600.00（BEA）"
2018-04-12,7100,50.76,"360,400.00（BEA）"
2018-04-11,702,53.39,"37,480.00（BEA）"
2018-03-22,51,59.30,"3,024.30（BEA）"
2018-03-21,37,58.51,"2,164.90（BEA）"
2018-03-20,44,56.60,"2,490.40（BEA）"
2018-03-14,9000,53.50,"481,500.00(BEA)"
2018-02-08,33,56.20,"1,854.60（BEA）"
2018-02-07,1672,51.58,"86,240.00（BEA）"
2018-02-06,8506,54.03,"459,603.20(BEA)"
2018-02-05,1,56,56.00（BEA）
2018-07-04,42996,69.40,"2,983,984.80（BEA）"
2018-07-03,10,8.30,83.00（CCER）
2018-07-03,16985,68.75,"1,167,762.50（BEA）"
2018-07-02,10073,6.42,"64,680.90（CCER）"
2018-07-02,6629,68.05,"451,116.80（BEA）"
2018-06-29,1002,7.00,"7,018.00（CCER）"
2018-06-29,13498,67.31,"908,494.20（BEA）"
2018-06-28,63959,64.85,"4,147,889.60（BEA）"
2018-06-27,10,9.80,98.00（CCER）
2018-06-27,16261,62.43,"1,015,221.20（BEA）"
2018-06-26,10,14.00,140.00（CCER）
2018-06-26,83836,59.66,"5,001,638.80（BEA）"
2018-06-25,45104,54.54,"2,460,095.20（BEA）"
2018-06-22,565,9.70,"5,480.50（林业碳汇）"
2018-06-22,1400,20.00,"28,000.00（CCER）"
2018-06-22,93144,51.01,"4,751,587.20（BEA）"
2018-06-21,21036,44.01,"925,865.60（BEA）"
2018-06-20,6,18.20,109.20（CCER）
2018-06-20,2500,12.10,"30,250.00（林业碳汇）"
2018-06-20,27565,48.14,"1,326,961.40（BEA）"
2018-06-19,48597,40.71,"1,978,185.70（BEA）"
2018-06-15,175876,36.04,"6,339,281.30（BEA）"
2018-06-14,1000,14.00,"14,000.00（CCER）"
2018-06-14,263,34.18,"8,989.20（BEA）"
2018-06-13,20,11.70,234.00（CCER）
2018-06-13,23676,40.48,"958,343.20（BEA）"
2018-06-12,2,9.00,18.00（CCER）
2018-06-12,14250,44.90,"639,825.00（BEA）"
2018-06-11,10,6.90,69.00（CCER）
2018-06-11,29853,56.14,"1,675,867.80（BEA）"
2018-05-21,11500,57.11,"656,740.00（BEA）"
2018-05-18,1950,7.50,"14,625.00（CCER）"
