,Date,Settlement Volume (ton),Settlement Price (yuan/ton),Trading Index,Turnover,Return
0,2013-12-17,100,51.0,,"5,100.00",
1,2013-12-19,100,55.0,,"5,500.00",0.07840000000000003
2,2013-12-24,1000,50.0,,"50,000.00",-0.09089999999999998
3,2014-01-02,50,51.5,,"2,575.00",0.030000000000000027
4,2014-01-07,500,50.0,,"25,000.00",-0.029100000000000015
5,2014-01-08,400,50.75,,"20,300.00",0.014999999999999902
6,2014-01-09,200,50.65,,"10,130.00",-0.0020000000000000018
7,2014-01-10,100,50.8,,"5,080.00",0.0029999999999998916
8,2014-01-13,500,50.0,,"25,000.00",-0.015700000000000047
9,2014-01-14,200,53.0,,"10,600.00",0.06000000000000005
10,2014-01-16,200,50.1,,"10,020.00",-0.05469999999999997
11,2014-01-17,200,50.1,,"10,020.00",0.0
12,2014-01-20,200,50.1,,"10,020.00",0.0
13,2014-01-21,200,50.0,,"10,000.00",-0.0020000000000000018
14,2014-01-22,100,50.2,,"5,020.00",0.0040000000000000036
15,2014-01-28,100,50.5,,"5,050.00",0.006000000000000005
16,2014-01-29,100,51.0,,"5,100.00",0.00990000000000002
17,2014-01-30,100,50.8,,"5,080.00",-0.0039000000000000146
18,2014-02-11,300,51.0,,"15,300.00",0.0039000000000000146
19,2014-02-12,400,51.0,,"20,400.00",0.0
20,2014-02-13,500,51.8,,"25,900.00",0.015700000000000047
21,2014-02-14,500,51.1,,"25,550.00",-0.013499999999999956
22,2014-02-17,550,51.5,,"28,325.00",0.007800000000000029
23,2014-02-18,700,51.4,,"35,990.00",-0.0019000000000000128
24,2014-02-19,350,51.7,,"18,095.00",0.005800000000000027
25,2014-02-20,650,51.75,,"33,640.00",0.0009999999999998899
26,2014-02-21,850,51.81,,"44,035.00",0.0012000000000000899
27,2014-02-24,500,52.14,,"26,070.00",0.006399999999999961
28,2014-02-25,1000,52.04,,"52,040.00",-0.0019000000000000128
29,2014-02-26,1000,52.41,,"52,410.00",0.007100000000000106
30,2014-02-27,1300,51.78,,"67,320.00",-0.01200000000000001
31,2014-02-28,1200,52.82,,"63,380.00",0.020100000000000007
32,2014-03-03,1150,52.56,,"60,440.00",-0.0049000000000000155
33,2014-03-04,1400,52.63,,"73,680.00",0.0013000000000000789
34,2014-03-05,2300,53.07,,"122,050.00",0.008399999999999963
35,2014-03-06,700,55.2,,"38,640.00",0.040100000000000025
36,2014-03-07,900,55.18,,"49,660.00",-0.00039999999999995595
37,2014-03-10,1700,54.16,,"92,080.00",-0.01849999999999996
38,2014-03-11,2200,54.56,,"120,040.00",0.007400000000000073
39,2014-03-12,900,55.96,,"50,360.00",0.025700000000000056
40,2014-03-13,1100,55.76,,"61,340.00",-0.0036000000000000476
41,2014-03-14,500,54.0,,"27,000.00",-0.03159999999999996
42,2014-03-17,1000,56.17,,"56,170.00",0.040200000000000014
43,2014-03-18,1000,56.48,,"56,480.00",0.00550000000000006
44,2014-03-19,900,56.31,,"50,680.00",-0.0030000000000000027
45,2014-03-20,1200,56.39,,"67,670.00",0.0014000000000000679
46,2014-03-21,1100,54.97,,"60,470.00",-0.0252
47,2014-03-25,600,56.95,,"34,170.00",0.03600000000000003
48,2014-03-26,1000,56.51,,"56,510.00",-0.00770000000000004
49,2014-03-27,800,56.85,,"45,480.00",0.006000000000000005
50,2014-03-28,1000,56.86,,"56,860.00",0.00019999999999997797
51,2014-03-31,1250,54.85,,"68,560.00",-0.0353
52,2014-04-01,1200,52.38,,"62,850.00",-0.04500000000000004
53,2014-04-02,700,57.0,,"39,900.00",0.08820000000000006
54,2014-04-03,1400,53.39,,"74,750.00",-0.06330000000000002
55,2014-04-04,1000,57.18,,"57,180.00",0.07099999999999995
56,2014-04-08,900,57.02,,"51,320.00",-0.0028000000000000247
57,2014-04-09,1200,53.15,,"63,780.00",-0.06789999999999996
58,2014-04-10,1100,57.0,,"62,700.00",0.07240000000000002
59,2014-04-11,900,57.26,,"51,530.00",0.0045999999999999375
60,2014-04-14,1000,57.29,,"57,290.00",0.0004999999999999449
61,2014-04-15,100,57.0,,"5,700.00",-0.005099999999999993
62,2014-04-16,900,53.51,,"48,160.00",-0.06120000000000003
63,2014-04-17,800,55.38,,"44,300.00",0.03489999999999993
64,2014-04-18,4000,52.0,,"208,000.00",-0.061000000000000054
65,2014-04-21,400,53.0,,"21,200.00",0.019200000000000106
66,2014-04-22,600,54.0,,"32,400.00",0.018899999999999917
67,2014-04-23,600,53.5,,"32,100.00",-0.009299999999999975
68,2014-04-24,600,54.0,,"32,400.00",0.009300000000000086
69,2014-04-25,1100,53.64,,"59,000.00",-0.006700000000000039
70,2014-04-28,700,53.0,,"37,100.00",-0.011900000000000022
71,2014-04-29,2200,53.48,,"117,650.00",0.009100000000000108
72,2014-04-30,1200,53.15,,"63,780.00",-0.006199999999999983
73,2014-05-05,1700,53.32,,"90,640.00",0.0032000000000000917
74,2014-05-06,1220,52.83,,"64,450.00",-0.009199999999999986
75,2014-05-07,4300,52.56,,"226,000.00",-0.005099999999999993
76,2014-05-08,2400,53.03,,"127,280.00",0.008899999999999908
77,2014-05-09,1800,53.17,,"95,700.00",0.0025999999999999357
78,2014-05-12,2400,53.5,,"128,400.00",0.006199999999999983
79,2014-05-13,900,53.5,,"48,150.00",0.0
80,2014-05-14,900,52.6,,"47,340.00",-0.016800000000000037
81,2014-05-15,1900,53.5,,"101,650.00",0.017099999999999893
82,2014-05-16,1400,52.79,,"73,900.00",-0.013299999999999979
83,2014-05-19,4345,53.34,,"231,773.00",0.010399999999999965
84,2014-05-20,568,53.36,,"30,308.00",0.00039999999999995595
85,2014-05-21,2300,53.36,,"122,730.00",0.0
86,2014-05-22,1000,53.5,,"53,500.00",0.0025999999999999357
87,2014-05-23,4700,53.5,,"251,430.00",0.0
88,2014-05-26,31381,52.99,,"1,662,978.00",-0.009499999999999953
89,2014-05-27,2000,52.0,,"104,000.00",-0.01870000000000005
90,2014-05-28,9405,53.26,,"500,947.50",0.0242
91,2014-05-29,3206,53.1,,"170,250.40",-0.0030000000000000027
92,2014-05-30,3148,53.0,,"166,844.00",-0.0019000000000000128
93,2014-06-03,2753,53.47,,"147,210.20",0.008899999999999908
94,2014-06-04,200,53.8,,"10,760.00",0.006199999999999983
95,2014-06-05,1650,53.3,,"87,950.00",-0.009299999999999975
96,2014-06-06,16228,53.32,,"865,302.40",0.00039999999999995595
97,2014-06-09,36577,53.45,,"1,954,946.80",0.0023999999999999577
98,2014-06-10,400,53.7,,"21,480.00",0.0046999999999999265
99,2014-06-11,20951,53.47,,"1,120,246.60",-0.0042999999999999705
100,2014-06-12,25185,53.5,,"1,347,372.50",0.0005999999999999339
101,2014-06-13,32661,53.33,,"1,741,655.30",-0.0031999999999999806
102,2014-06-16,19156,53.36,,"1,022,125.20",0.0005999999999999339
103,2014-06-17,8238,53.36,,"439,611.60",0.0
104,2014-06-18,30979,53.5,,"1,657,376.50",0.0025999999999999357
105,2014-06-19,21349,53.46,,"1,141,229.50",-0.0007000000000000339
106,2014-06-20,140,53.4,,"7,476.00",-0.0010999999999999899
