,Date,Settlement Volume (ton),Settlement Price (yuan/ton),Trading Index,Turnover,Return
0,2014-12-30,4400,53.45,BEA,"235,200.00 ",
1,2014-12-31,3100,54.19,BEA,"168,000.00 ",0.013800000000000034
2,2015-01-06,1000,54.0,BEA,"54,000.00 ",-0.0034999999999999476
3,2015-01-08,2000,53.5,BEA,"107,000.00 ",-0.009299999999999975
4,2015-01-12,1500,53.5,BEA,"80,250.00 ",0.0
5,2015-01-20,2500,53.96,BEA,"134,900.00",0.008599999999999941
6,2015-02-09,2100,53.07,BEA,"111,450.00",-0.01649999999999996
7,2015-03-30,1800,50.0,BEA,"90,000.00 ",-0.05779999999999996
8,2015-04-13,8782,51.14,BEA,"449,101.20",0.02279999999999993
9,2015-06-02,16798,46.55,BEA,"781,895.30",-0.08979999999999999
10,2015-06-03,18117,46.88,BEA,"849,240.90",0.007100000000000106
11,2015-06-04,69058,46.36,BEA,"3,201,659.80",-0.011099999999999999
12,2015-06-05,49442,46.39,BEA,"2,293,520.10",0.0005999999999999339
13,2015-06-08,36393,45.87,BEA,"1,669,514.00",-0.011199999999999988
14,2015-06-09,60014,46.51,BEA,"2,790,980.80",0.014000000000000012
15,2015-06-11,57908,43.5,BEA,"2,519,273.90",-0.06469999999999998
16,2015-06-15,43672,41.07,BEA,"1,793,681.20",-0.05589999999999995
17,2015-07-03,1152,38.9,BEA,"44,812.80",-0.05279999999999996
18,2015-07-08,1000,35.0,BEA,"35,000.00",-0.10029999999999994
19,2015-07-16,23,42.0,BEA,966.00,0.19999999999999996
20,2015-07-21,100,42.0,BEA,"4,200.00",0.0
21,2015-07-23,91,41.91,BEA,"3,814.00",-0.0020999999999999908
22,2015-08-19,1,50.0,BEA,50.00,0.19300000000000006
23,2015-08-20,110,42.0,BEA,"4,620.00",-0.16000000000000003
24,2015-08-24,1,50.0,BEA,50.00,0.1904999999999999
25,2015-08-25,1,60.0,BEA,60.00,0.19999999999999996
26,2015-08-27,21,49.14,BEA,"1,032.00",-0.18100000000000005
27,2015-09-09,8600,45.76,BEA,"393,500.00 ",-0.06879999999999997
28,2015-09-14,8500,46.5,BEA,"395,250.00",0.016199999999999992
29,2015-09-21,120,43.0,BEA,"5,160.00",-0.07530000000000003
30,2015-09-28,200,39.7,BEA,"7,940.00",-0.07669999999999999
31,2015-10-09,145,41.09,BEA,"5,958.00",0.03499999999999992
32,2015-10-14,100,43.0,BEA,"4,300.00",0.046499999999999986
33,2015-10-22,105,44.5,BEA,"4,672.00",0.03489999999999993
34,2015-10-30,100,45.0,BEA,"4,500",0.011200000000000099
35,2015-11-05,120,43.0,BEA,"5,160.00",-0.044399999999999995
36,2015-11-06,500,41.0,BEA,"20,500.00",-0.046499999999999986
37,2015-11-09,500,40.0,BEA,"20,000.00 ",-0.024399999999999977
38,2015-11-19,100,42.0,BEA,"4,200.00",0.050000000000000044
39,2015-11-26,150,41.5,BEA,"6,225.00",-0.011900000000000022
40,2015-11-27,2950,33.6,BEA,"99,120.00",-0.1904
41,2015-12-02,120,40.0,BEA,"4,800.00 ",0.1904999999999999
42,2015-12-07,250,33.6,BEA,"8,400.00",-0.16000000000000003
43,2015-12-08,150,39.0,BEA,"5,850.00",0.16070000000000007
44,2015-12-16,1800,38.83,BEA,"69,900.00 ",-0.0043999999999999595
45,2015-12-21,150,35.0,BEA,"5,250.00",-0.09860000000000002
46,2015-12-22,400,35.5,BEA,"14,200.00",0.01429999999999998
47,2015-12-24,693,37.39,BEA,"25,913.00",0.053199999999999914
48,2015-12-28,5400,37.0,BEA,"199,800.00",-0.010399999999999965
49,2015-12-30,2900,37.8,BEA,"109,620.00",0.021600000000000064
50,2015-12-31,193,40.52,BEA,"7,820.00",0.07200000000000006
51,2016-01-05,5900,44.7,BEA,"263,730.00 ",0.10319999999999996
52,2016-01-07,1,53.6,BEA,53.60,0.19910000000000005
53,2016-01-14,31,43.69,BEA,"1,354.30",-0.18489999999999995
54,2016-01-15,300,35.0,BEA,"10,500.00",-0.19889999999999997
55,2016-01-18,1150,37.74,BEA,"43,400.00",0.07830000000000004
56,2016-01-21,115,40.47,BEA,"4,654.50",0.07230000000000003
57,2016-01-25,4350,32.4,BEA,"140,940.00 ",-0.19940000000000002
58,2016-01-26,100,38.9,BEA,"3,890.00",0.2005999999999999
59,2016-02-01,110,41.01,BEA,"4,511.00 ",0.054200000000000026
60,2016-02-05,1700,32.8,BEA,"55,760.00",-0.20020000000000004
61,2016-02-15,101,39.0,BEA,"3,939.40",0.18900000000000006
62,2016-02-17,1,46.7,BEA,46.70,0.19740000000000002
63,2016-02-19,5000,37.4,BEA,"187,000.00",-0.19910000000000005
64,2016-02-22,5000,37.4,BEA,"187,000.00",0.0
65,2016-02-25,1000,37.4,BEA,"37,400",0.0
66,2016-02-26,8000,33.65,BEA,"269,200.00",-0.10029999999999994
67,2016-02-29,400,38.0,BEA,"15,200.00",0.12929999999999997
68,2016-03-01,6540,33.29,BEA,"217,692.00",-0.12390000000000001
69,2016-03-02,9000,32.56,BEA,"293,000.00",-0.02190000000000003
70,2016-03-03,100,39.0,BEA,"3,900.00",0.19779999999999998
71,2016-03-04,4850,34.64,BEA,"167,980.00",-0.11180000000000001
72,2016-03-08,200,41.5,BEA,"8,300",0.19799999999999995
73,2016-03-09,200,46.0,BEA,"9,200",0.10840000000000005
74,2016-03-10,256,48.2,BEA,"12,339.20",0.047800000000000065
75,2016-03-11,300,51.0,BEA,"15,300.00 ",0.05810000000000004
76,2016-03-16,260,50.2,BEA,"13,052.00",-0.015700000000000047
77,2016-03-17,7000,40.41,BEA,"282,900.00",-0.19499999999999995
78,2016-03-18,300,47.0,BEA,"14,100.00",0.16310000000000002
79,2016-03-22,3,46.47,BEA,139.40,-0.011299999999999977
80,2016-03-23,209,37.2,BEA,"7,774.80",-0.1995
81,2016-03-24,25142,36.79,BEA,"925,031.60",-0.01100000000000001
82,2016-03-28,6410,36.91,BEA,"236,624.00",0.0033000000000000806
83,2016-03-29,29949,39.97,BEA,"1,196,934.80 ",0.08289999999999997
84,2016-03-30,1191,33.99,BEA,"40,478.80 ",-0.14959999999999996
85,2016-03-31,32320,33.94,BEA,"1,029,104.00",-0.0014999999999999458
86,2016-04-01,100,40.7,BEA,"4,070.00",0.19920000000000004
87,2016-04-05,100,48.7,BEA,"4,870.00 ",0.1966000000000001
88,2016-04-06,1510,38.99,BEA,"58,872.00 ",-0.19940000000000002
89,2016-04-07,16034,39.96,BEA,"640,660.80 ",0.024899999999999922
90,2016-04-08,1800,43.13,BEA,"77,640",0.07929999999999993
91,2016-04-11,1619,34.5,BEA,"55,855.50",-0.20009999999999994
92,2016-04-12,7682,38.38,BEA,"294,827.80",0.11250000000000004
93,2016-04-14,7787,36.89,BEA,"287,240.90",-0.038799999999999946
94,2016-04-15,2600,38.3,BEA,"99,580.00",0.03820000000000001
95,2016-04-18,4508,33.56,BEA,"151,266.80",-0.12380000000000002
96,2016-04-19,87761,36.82,BEA,"3,231,385.70",0.09709999999999996
97,2016-04-20,120,43.9,BEA,"5,268.00",0.19229999999999992
98,2016-04-21,3340,39.94,BEA,133.416.00,-0.09019999999999995
99,2016-04-25,90,47.5,BEA,"4,275.00",0.18930000000000002
100,2016-04-28,7000,50.86,BEA,"356,000.00",0.07069999999999999
101,2016-04-29,1900,49.7,BEA,"94,430.00",-0.022800000000000042
102,2016-05-03,400,49.2,BEA,"19,680.00",-0.010099999999999998
103,2016-05-04,10370,51.02,BEA,"529,118.00",0.03699999999999992
104,2016-05-05,10234,45.09,BEA,"461,454.00",-0.11619999999999997
105,2016-05-06,18754,44.57,BEA,"835,944.00",-0.011499999999999955
106,2016-05-09,12096,47.32,BEA,"572,429.40",0.06170000000000009
107,2016-05-10,4463,46.37,BEA,"206,929.00",-0.020100000000000007
108,2016-05-11,65283,46.15,BEA,"3,013,021.50",-0.0047000000000000375
109,2016-05-13,52270,51.29,BEA,"2,680,795.80 ",0.11139999999999994
