,Date,Settlement Volume (ton),Settlement Price (yuan/ton),Trading Index,Turnover,Return
0,2015-06-02,850,22.0,CCER,"18,700",
1,2015-06-04,1479,18.0,CCER,"26,622.00",-0.18179999999999996
2,2015-06-05,2083,20.23,CCER,"42,145.00",0.1238999999999999
3,2015-06-08,1034,18.57,CCER,"19,204.50",-0.08209999999999995
4,2015-06-11,1340,33.18,CCER,"44,460.00",0.7867999999999999
5,2015-06-12,1000,16.5,CCER,"16,500",-0.5026999999999999
6,2016-05-06,390,18.0,CCER,"7,020.00",0.09089999999999998
7,2016-05-10,1448,19.0,CCER,"227,512.00",0.055600000000000094
8,2016-05-13,6169,18.0,CCER,"111,038.00 ",-0.05259999999999998
9,2016-05-16,1975,23.28,CCER,"45,978.80",0.2932999999999999
10,2016-05-17,5391,10.63,CCER,"57,320.00",-0.5434
11,2016-05-20,1000,18.0,CCER,"18,000.00",0.6933
12,2016-05-24,3460,10.05,CCER,"34,786.50",-0.4417
13,2016-05-27,429,11.0,CCER,"4,719.00",0.09450000000000003
14,2016-05-30,429,9.8,CCER,"4,204.20",-0.10909999999999997
15,2016-06-01,314,28.0,CCER,"8,792.00",1.8571
16,2016-06-02,5,12.7,CCER,63.50,-0.5464
17,2016-06-06,1100,18.0,CCER,"19,800.00",0.4173
18,2016-06-07,1566,12.0,CCER,"18,792",-0.33330000000000004
19,2016-06-13,152,22.0,CCER,"3,344.00",0.8332999999999999
20,2017-03-23,50,10.0,CCER,500.00,-0.5455
21,2017-03-24,1000,8.0,CCER,"8,000.00",-0.19999999999999996
22,2017-04-20,50,10.0,CCER,500.00,0.25
23,2017-05-04,100,13.0,CCER,"1,300.00",0.30000000000000004
24,2017-05-05,1316,14.0,CCER,"18,424.00",0.07689999999999997
25,2017-05-16,508,15.9,CCER,"8,077.20",0.13569999999999993
26,2017-05-23,2572,13.84,CCER,"35,604.00",-0.12960000000000005
27,2017-05-24,21899,19.0,CCER,"416,081.00",0.3728
28,2017-05-25,4418,6.95,CCER,"30,706.00",-0.6342
29,2017-05-26,3130,11.59,CCER,"36,277.50",0.6676
30,2017-06-01,11567,14.47,CCER,"167,356.80",0.24849999999999994
31,2017-06-02,12000,5.4,CCER,"64,800.00",-0.6268
32,2017-06-05,1672,4.94,CCER,"8,252.20",-0.08520000000000005
33,2017-06-06,867,5.0,CCER,"4,335.00",0.0121
34,2017-06-07,1267,4.0,CCER,"5,068.00",-0.19999999999999996
35,2017-06-23,25000,17.95,CCER,"448,850.00",3.4875
36,2017-07-04,200,5.2,CCER,"1,040.00",-0.7102999999999999
37,2017-08-09,100,23.3,CCER,2330.00,3.4808000000000003
38,2017-08-15,100,39.4,CCER,"3,940.00",0.6910000000000001
39,2017-08-17,100,23.0,CCER,"2,300.00",-0.4162
40,2017-08-18,1200,22.83,CCER,"27,400.00",-0.007399999999999962
41,2017-08-28,1001,22.1,CCER,"22,122.10",-0.03200000000000003
42,2017-10-11,4000,28.7,CCER,"114,800.00",0.2986
43,2018-05-16,50,6.8,CCER,340.00,-0.7631
44,2018-05-18,1950,7.5,CCER,"14,625.00",0.10289999999999999
45,2018-06-08,965,5.3,CCER,"5,,114.50",-0.2933
46,2018-06-11,10,6.9,CCER,69.00,0.30190000000000006
47,2018-06-12,2,9.0,CCER,18.00,0.3043
48,2018-06-13,20,11.7,CCER,234.00,0.30000000000000004
49,2018-06-14,1000,14.0,CCER,"14,000.00",0.1966000000000001
50,2018-06-20,6,18.2,CCER,109.20,0.30000000000000004
51,2018-06-22,1400,20.0,CCER,"28,000.00",0.09889999999999999
52,2018-06-26,10,14.0,CCER,140.00,-0.30000000000000004
53,2018-06-27,10,9.8,CCER,98.00,-0.30000000000000004
54,2018-06-29,1002,7.0,CCER,"7,018.00",-0.28569999999999995
55,2018-07-02,10073,6.42,CCER,"64,680.90",-0.08289999999999997
56,2018-07-03,10,8.3,CCER,83.00,0.29279999999999995
57,2018-07-06,355,6.52,CCER,"2,315.60",-0.21450000000000002
58,2018-07-10,300,7.0,CCER,"2,100.00",0.07360000000000011
59,2018-07-11,1389,7.3,CCER,"10,139.70",0.04289999999999994
60,2018-07-13,540,7.0,CCER,"3,780.00",-0.041100000000000025
61,2018-07-18,3992,7.64,CCER,"30,500.00",0.09139999999999993
62,2018-07-19,5881,9.03,CCER,"53,123.10",0.18189999999999995
63,2018-07-20,4700,8.0,CCER,"37,600.00",-0.11409999999999998
64,2018-07-25,1504,9.53,CCER,"14,340.00",0.19120000000000004
65,2018-07-26,34700,9.5,CCER,"329,650.00",-0.0030999999999999917
66,2019-04-15,21,12.13,CCER,254.70,0.27679999999999993
67,2019-04-16,2001,15.5,CCER,"31,008.50",0.27780000000000005
68,2019-04-24,2,8.7,CCER,17.40,-0.4387
69,2019-04-25,1200,6.5,CCER,"7,800.00",-0.2529
70,2019-05-14,119,6.5,CCER,773.50,0.0
71,2019-05-16,450,8.06,CCER,"3,625.00",0.24
72,2019-06-10,20375,9.08,CCER,"185,000.00",0.12660000000000005
73,2019-06-17,1738,7.2,CCER,"12,513.60",-0.20699999999999996
74,2019-06-27,674,7.2,CCER,"4,852.80",0.0
75,2019-07-08,1060,14.0,CCER,"14,840.00",0.9443999999999999
76,2019-07-10,10,9.4,CCER,94.00,-0.3286
77,2019-07-11,10,12.2,CCER,122.00,0.29790000000000005
78,2019-07-15,1000,15.0,CCER,"15,000.00",0.22950000000000004
79,2019-07-17,652,10.5,CCER,"6,846.00",-0.30000000000000004
80,2019-07-26,118,12.9,CCER,"1,522.20",0.22859999999999991
81,2019-07-29,7404,11.24,CCER,"83,254.70",-0.12870000000000004
82,2019-08-01,1383,10.0,CCER,"13,830.00",-0.11029999999999995
83,2019-08-05,1436,12.73,CCER,"18,286.00",0.2729999999999999
84,2019-08-06,1900,13.0,CCER,"24,700.00",0.021200000000000108
85,2019-08-07,3125,11.82,CCER,"36,972.50",-0.09079999999999999
86,2019-08-16,1321,14.0,CCER,"18,494.00",0.1843999999999999
87,2020-04-03,3000,13.58,CCER,"40,750.00",-0.030000000000000027
88,2020-04-07,2001,12.83,CCER,"25,664.00",-0.05520000000000003
89,2020-04-08,4899,13.3,CCER,"65,156.00",0.036599999999999966
90,2020-04-09,100,12.3,CCER,"1,230.00",-0.07520000000000004
91,2020-05-07,10000,20.0,CCER,"200,000.00",0.6259999999999999
92,2020-05-13,10,16.0,CCER,160.00,-0.19999999999999996
93,2020-05-14,2546,11.2,CCER,"28,515.20",-0.30000000000000004
94,2020-06-09,10,14.6,CCER,146.00,0.3036000000000001
95,2020-06-10,50,19.0,CCER,950.00,0.3013999999999999
96,2020-06-11,6950,13.3,CCER,"92,435.00",-0.30000000000000004
97,2020-06-23,1,17.3,CCER,17.30,0.30079999999999996
98,2020-06-24,1200,20.0,CCER,"24,000.00",0.1560999999999999
99,2020-07-07,220,22.0,CCER,"4,840.00",0.10000000000000009
100,2020-07-13,300,22.0,CCER,"6,600.00",0.0
101,2020-07-23,5,28.6,CCER,143.00,0.30000000000000004
102,2020-07-24,1300,21.73,CCER,"28,252.80",-0.24019999999999997
103,2020-08-05,800,25.0,CCER,"20,000.00",0.15050000000000008
104,2020-08-06,10,20.0,CCER,200.00,-0.19999999999999996
105,2020-08-07,8171,14.3,CCER,"116,845.30",-0.28500000000000003
106,2020-08-10,10,18.6,CCER,168.00,0.30069999999999997
107,2020-08-12,450,19.8,CCER,"8,910.00",0.0645
108,2020-08-19,470,21.0,CCER,"9,870.00",0.06059999999999999
109,2020-08-21,2500,20.0,CCER,"50,000.00",-0.047599999999999976
110,2020-09-04,634,20.0,CCER,"12,680.00",0.0
111,2020-09-09,1682,21.9,CCER,"36,835.80",0.09499999999999997
112,2020-09-11,2500,23.0,CCER,"57,500.00",0.05020000000000002
113,2020-09-24,2500,20.0,CCER,"50,000",-0.13039999999999996
114,2020-10-13,10,28.6,CCER,286.00,0.42999999999999994
115,2020-11-11,500,15.5,CCER,"7,750.00",-0.45799999999999996
116,2020-11-12,500,10.9,CCER,"5,450.00",-0.29679999999999995
117,2020-11-19,10,14.0,CCER,140.00,0.2844
118,2020-11-20,10,18.0,CCER,180.00,0.28570000000000007
119,2020-11-23,980,19.5,CCER,"19,110.00",0.08329999999999993
120,2021-05-31,13,45.8,CCER,595.40,1.3487
121,2021-06-09,1,52.0,CCER,52,0.13539999999999996
