,Date,Settlement Volume (ton),Settlement Price (yuan/ton),Trading Index,Turnover,Return
0,2014-12-30,3450,38.0,林业碳汇,"131,100.00 ",
1,2014-12-31,100,38.0,林业碳汇,"3,800.00 ",0.0
2,2015-01-06,5514,38.0,林业碳汇,"209,532.00 ",0.0
3,2015-01-08,2500,38.0,林业碳汇,"95,000.00 ",0.0
4,2015-01-12,2958,38.0,林业碳汇,"112,404.00 ",0.0
5,2015-01-14,500,38.0,林业碳汇,"19,000.00",0.0
6,2015-01-20,2000,38.0,林业碳汇,"76,000.00",0.0
7,2015-01-21,1000,38.0,林业碳汇,"38,000.00 ",0.0
8,2015-02-09,19998,36.0,林业碳汇,"719,928.00",-0.05259999999999998
9,2015-02-10,20002,36.0,林业碳汇,"720,072.00",0.0
10,2015-02-11,10000,36.0,林业碳汇,"360,000.00 ",0.0
11,2015-03-30,242,48.0,林业碳汇,"11,616.00 ",0.33329999999999993
12,2015-04-13,727,48.0,林业碳汇,"34,896.00",0.0
13,2015-06-05,1197,36.0,林业碳汇,"43,092",-0.25
14,2015-06-15,100,30.1,林业碳汇,"3,010.00",-0.16390000000000005
15,2015-07-03,527,37.0,林业碳汇,"19,499.00",0.22920000000000007
16,2015-12-17,1500,30.0,林业碳汇,"45,000.00",-0.18920000000000003
17,2017-05-26,940,24.0,林业碳汇,"22,560.00",-0.19999999999999996
18,2017-06-05,539,25.0,林业碳汇,"13,475.00",0.04170000000000007
19,2017-06-21,20,20.0,林业碳汇,400.00,-0.19999999999999996
20,2017-06-22,1031,18.94,林业碳汇,"19,529.00",-0.05300000000000005
21,2018-06-08,400,15.1,林业碳汇,"6,040.00",-0.2027
22,2018-06-20,2500,12.1,林业碳汇,"30,250.00",-0.1987
23,2018-06-22,565,9.7,林业碳汇,"5,480.50",-0.19830000000000003
24,2018-07-13,450,11.5,林业碳汇,"5,175.00",0.1856
25,2018-07-19,387,13.5,林业碳汇,"5,224.50",0.17389999999999994
26,2018-07-26,800,16.0,林业碳汇,"12,800.00",0.18520000000000003
27,2018-07-30,300,12.8,林业碳汇,"3,840.00",-0.19999999999999996
28,2018-08-02,100,10.2,林业碳汇,"1,020.00",-0.20309999999999995
29,2018-12-13,1700,12.1,林业碳汇,"20,570.00",0.1862999999999999
30,2018-12-14,8450,14.5,林业碳汇,"122,525.00",0.19829999999999992
31,2018-12-17,200,11.6,林业碳汇,"2,320.00",-0.19999999999999996
32,2018-12-18,300,9.3,林业碳汇,"2,790.00",-0.19830000000000003
33,2018-12-19,7950,8.4,林业碳汇,"66,753.00",-0.0968
34,2019-07-18,210,10.1,林业碳汇,"2,121.00",0.2023999999999999
35,2019-09-02,310,11.5,林业碳汇,"3,565.00",0.13860000000000006
36,2020-04-14,5,13.8,林业碳汇,69.00,0.19999999999999996
37,2020-04-16,5,16.6,林业碳汇,83.00,0.20290000000000008
38,2020-04-17,5,19.9,林业碳汇,99.50,0.1988000000000001
39,2020-04-20,5,23.9,林业碳汇,119.50,0.20100000000000007
40,2020-04-21,5,28.7,林业碳汇,143.50,0.2008000000000001
41,2020-04-22,5,34.4,林业碳汇,172.00,0.1986000000000001
42,2020-04-23,15000,40.0,林业碳汇,"600,000.00",0.16280000000000006
43,2020-05-26,2031,40.0,林业碳汇,"81,240.00",0.0
44,2020-06-17,53,47.5,林业碳汇,"2,517.50",0.1875
45,2020-06-24,53,55.0,林业碳汇,"2,915.00",0.15789999999999993
46,2020-07-09,591,55.0,林业碳汇,"32,505.00",0.0
47,2020-07-24,1139,55.0,林业碳汇,"62,645.00",0.0
48,2020-08-04,800,55.0,林业碳汇,"44,000.00",0.0
49,2020-08-14,300,61.0,林业碳汇,"18,300.00",0.10909999999999997
50,2020-08-27,12656,55.0,林业碳汇,"1,036,326.40",-0.09840000000000004
51,2020-08-31,312,50.0,林业碳汇,"15,600.00",-0.09089999999999998
52,2020-09-02,2360,47.0,林业碳汇,"110,920.00",-0.06000000000000005
53,2020-09-03,5,55.0,林业碳汇,275.00,0.1701999999999999
54,2020-09-04,634,55.0,林业碳汇,"34,870.00",0.0
55,2020-09-07,1140,48.9,林业碳汇,"55,746.00",-0.1109
56,2020-10-26,1285,54.0,林业碳汇,"69,390.00",0.10430000000000006
