,Date,Trading Index,Open Price,Settlement Price (yuan/ton),Highest Price,Lowest Price,Price Change,Return,Settlement Volume (ton),Turnover (yuan)
0,2021-06-11,GDEA,40.43,39.98,41.94,39.92,-0.45,-1.11,243019,9818315.43
1,2021-06-10,GDEA,39.95,40.43,40.9,40,0.48,1.2,185317,5314462.49
2,2021-06-09,GDEA,39.55,39.95,41.44,39.68,0.4,1.01,51961,2075630.22
3,2021-06-08,GDEA,39.57,39.55,40.78,39.51,-0.02,-0.05,173012,6989721.8
4,2021-06-07,GDEA,39.53,39.57,40.75,39.55,0.04,0.1,149507,6100080.18
5,2021-06-04,GDEA,40.07,39.53,41,39.31,-0.54,-1.35,599514,24354108.44
6,2021-06-03,GDEA,39.6,40.07,41.6,39.38,0.47,1.19,126206,5072611.51
7,2021-06-02,GDEA,39.47,39.6,41.6,38.82,0.13,0.33,243476,9529625.88
8,2021-06-01,GDEA,39.44,39.47,39.9,39.3,0.03,0.08,59595,2352316.09
9,2021-05-31,GDEA,41.08,39.44,39.8,39.3,-1.64,-3.99,55492,2188677.39
10,2021-05-28,GDEA,39.44,41.08,42.55,39.01,1.64,4.16,311379,11804989.35
11,2021-05-27,GDEA,39.49,39.44,43.3,39.4,-0.05,-0.13,785842,30327208.28
12,2021-05-26,GDEA,40.01,39.49,41.5,39.25,-0.52,-1.3,439714,13059605.67
13,2021-05-25,GDEA,40.26,40.01,40.3,39.91,-0.25,-0.62,3973,158960.47
14,2021-05-24,GDEA,39.66,40.26,40.9,39.61,0.6,1.51,118463,3519312.06
15,2021-05-21,GDEA,39.8,39.66,41.38,38.39,-0.14,-0.35,142447,4435069.7
16,2021-05-20,GDEA,39.91,39.8,40.07,39.8,-0.11,-0.28,2526,100543
17,2021-05-19,GDEA,40.44,39.91,40.1,39.8,-0.53,-1.31,475492,16458849.84
18,2021-05-18,GDEA,40.15,40.44,41.39,39.8,0.29,0.72,2351982,85565381.08
19,2021-05-17,GDEA,40.17,40.15,40.88,38.6,-0.02,-0.05,678341,25429232.09
20,2021-05-14,GDEA,40.02,40.17,42.99,39.79,0.15,0.37,634996,22264486.47
21,2021-05-13,GDEA,39.67,40.02,43,39.61,0.35,0.88,64061,2563474.41
22,2021-05-12,GDEA,39.57,39.67,39.99,39.51,0.1,0.25,371201,14724258.13
23,2021-05-11,GDEA,39.42,39.57,39.6,39.48,0.15,0.38,121783,4765723.88
24,2021-05-10,GDEA,39.17,39.42,39.9,39.17,0.25,0.64,148800,5866045.24
25,2021-05-07,GDEA,39.16,39.17,39.39,38.31,0.01,0.03,262703,10587767.53
26,2021-05-06,GDEA,38.26,39.16,39.35,39.1,0.9,2.35,108142,3888848.72
27,2021-04-30,GDEA,38.62,38.26,39.5,38,-0.36,-0.93,151804,5807388.97
28,2021-04-29,GDEA,38.69,38.62,39.49,37.81,-0.07,-0.18,63117,2437415.48
29,2021-04-28,GDEA,38.95,38.69,39.72,38.4,-0.26,-0.67,64712,2510649.96
30,2021-04-27,GDEA,38.78,38.95,39.67,37.1,0.17,0.44,19411,756035.4
31,2021-04-26,GDEA,38.7,38.78,39.98,38.5,0.08,0.21,129601,4297873.47
32,2021-04-23,GDEA,37.57,38.7,40,37.1,1.13,3.01,25574,989738.48
33,2021-04-22,GDEA,37.2,37.57,37.96,36,0.37,0.99,124842,4732822.47
34,2021-04-21,GDEA,37.13,37.2,39.88,37,0.07,0.19,39218,1464267.53
35,2021-04-20,GDEA,37.19,37.13,37.49,37,-0.06,-0.16,32745,1217513.25
36,2021-04-19,GDEA,37.18,37.19,37.6,36.91,0.01,0.03,40408,1502639.07
37,2021-04-16,GDEA,37,37.18,37.9,35.66,0.18,0.49,36109,1345204.73
38,2021-04-15,GDEA,36.99,37,37.95,35.5,0.01,0.03,70780,2623329.18
39,2021-04-14,GDEA,36.94,36.99,37.1,36.5,0.05,0.14,15023,555648.9
40,2021-04-13,GDEA,36.69,36.94,37,36.5,0.25,0.68,25300,934556.98
41,2021-04-12,GDEA,36.65,36.69,37.11,34.22,0.04,0.11,125148,4590942.42
42,2021-04-09,GDEA,37.09,36.65,37.48,34,-0.44,-1.19,196028,6513499.16
43,2021-04-08,GDEA,36.74,37.09,37.49,34.5,0.35,0.95,176739,5792335.52
44,2021-04-07,GDEA,36.75,36.74,36.9,34.5,-0.01,-0.03,715244,19678974.39
45,2021-04-06,GDEA,37.51,36.75,37.78,34,-0.76,-2.03,197533,6365152.33
46,2021-04-02,GDEA,37.56,37.51,37.8,37.27,-0.05,-0.13,14024,526007.94
47,2021-04-01,GDEA,36.28,37.56,37.9,33.6,1.28,3.53,4615,170158.15
48,2021-03-31,GDEA,36.27,36.28,38.66,34,0.01,0.03,204015,6605155.63
49,2021-03-30,GDEA,36.73,36.27,40,36,-0.46,-1.25,222700,7737041.13
50,2021-03-29,GDEA,36.85,36.73,36.95,36.5,-0.12,-0.33,252489,7091408.87
51,2021-03-26,GDEA,36.6,36.85,36.99,36.7,0.25,0.68,131310,3423068.17
52,2021-03-25,GDEA,36.48,36.6,36.79,35.1,0.12,0.33,1500,54447.05
53,2021-03-24,GDEA,36.41,36.48,36.8,33,0.07,0.19,137642,4145213.18
54,2021-03-23,GDEA,36.06,36.41,36.5,33,0.35,0.97,55857,2032466.32
55,2021-03-22,GDEA,35.53,36.06,36.15,32.55,0.53,1.49,4977,177908.27
56,2021-03-19,GDEA,35.01,35.53,35.9,35.4,0.52,1.49,107829,3728167.71
57,2021-03-18,GDEA,35.01,35.01,35.44,35,0,0,213610,5728785.2
58,2021-03-17,GDEA,35.28,35.01,35.28,33.1,-0.27,-0.77,8230,286204.42
59,2021-03-16,GDEA,35.06,35.28,35.79,35,0.22,0.63,650,22933
60,2021-03-15,GDEA,35.24,35.06,35.78,32,-0.18,-0.51,24919,873345.9
61,2021-03-12,GDEA,35.41,35.24,35.65,32.66,-0.17,-0.48,17513,615672.95
62,2021-03-11,GDEA,35.47,35.41,35.98,35.22,-0.06,-0.17,11913,421848.6
63,2021-03-10,GDEA,35.5,35.47,35.98,32,-0.03,-0.08,163210,4666506.19
64,2021-03-09,GDEA,35.27,35.5,35.86,33.01,0.23,0.65,12321,436174.9
65,2021-03-08,GDEA,33.9,35.27,35.5,30.88,1.37,4.04,9706,333525.14
66,2021-03-05,GDEA,32.99,33.9,34.5,29.88,0.91,2.76,12668,427679.31
67,2021-03-04,GDEA,32.46,32.99,33.32,31.01,0.53,1.63,3920,128530.08
68,2021-03-03,GDEA,31.6,32.46,32.5,28.44,0.86,2.72,2753,87582.81
69,2021-03-02,GDEA,32.12,31.6,32.08,29,-0.52,-1.62,303472,9108558.42
70,2021-03-01,GDEA,31.99,32.12,32.12,29,0.13,0.41,1244,38572
71,2021-02-26,GDEA,32.18,31.99,32.15,29.11,-0.19,-0.59,2420,76254.13
72,2021-02-25,GDEA,31.82,32.18,32.19,28.88,0.36,1.13,860,26210.87
73,2021-02-24,GDEA,32.09,31.82,32.19,31.01,-0.27,-0.84,3695,117572.17
74,2021-02-23,GDEA,32.17,32.09,32.09,29,-0.08,-0.25,650,19498
75,2021-02-22,GDEA,32.27,32.17,32.25,29.11,-0.1,-0.31,150970,5129858.9
76,2021-02-19,GDEA,31.99,32.27,32.28,29,0.28,0.88,854,26108
77,2021-02-18,GDEA,32.28,31.99,32,30.1,-0.29,-0.9,857,26576.4
78,2021-02-10,GDEA,32.25,32.28,32.5,32.2,0.03,0.09,3004,96966.8
79,2021-02-09,GDEA,30.93,32.25,32.25,28,1.32,4.27,849,25492.95
80,2021-02-08,GDEA,30.85,30.93,32.48,28.1,0.08,0.26,210561,6925599.99
81,2021-02-05,GDEA,30.64,30.85,32.18,28,0.21,0.69,212541,7385585.27
82,2021-02-04,GDEA,31.01,30.64,32.46,28.1,-0.37,-1.19,9341,285402.57
83,2021-02-03,GDEA,31.16,31.01,32.22,29.11,-0.15,-0.48,18503,573034.8
84,2021-02-02,GDEA,31.05,31.16,33.88,28.1,0.11,0.35,28050,872771.85
85,2021-02-01,GDEA,31.35,31.05,31.99,28.66,-0.3,-0.96,39320,1219754.38
86,2021-01-29,GDEA,31.35,31.35,34.33,28.5,0,0,22908,717243.55
87,2021-01-28,GDEA,31.02,31.35,31.98,31.29,0.33,1.06,4401,137951.3
88,2021-01-27,GDEA,31.28,31.02,32,28.5,-0.26,-0.83,37696,1167492.8
89,2021-01-26,GDEA,31.9,31.28,31.88,29,-0.62,-1.94,2500,77280.21
90,2021-01-25,GDEA,31.82,31.9,32,28.88,0.08,0.25,1170,35983.87
91,2021-01-22,GDEA,31.56,31.82,31.99,28.55,0.26,0.82,4480,140913.65
92,2021-01-21,GDEA,31.65,31.56,31.77,29,-0.09,-0.28,1380,41759.51
93,2021-01-20,GDEA,31.1,31.65,31.99,31.48,0.55,1.77,1049,33205.01
94,2021-01-19,GDEA,30.48,31.1,31.49,29.11,0.62,2.03,1919,58879.81
95,2021-01-18,GDEA,30.41,30.48,30.5,28.11,0.07,0.23,1618,48263.84
96,2021-01-15,GDEA,30.46,30.41,30.45,28.1,-0.05,-0.16,1839,55006.1
97,2021-01-14,GDEA,30.1,30.46,30.48,28,0.36,1.2,954,27968
98,2021-01-13,GDEA,28.91,30.1,30.38,28.66,1.19,4.12,1001,29556
99,2021-01-12,GDEA,30.49,28.91,30.5,27.55,-1.58,-5.18,155348,4490496.26
100,2021-01-11,GDEA,29.47,30.49,31.99,27,1.02,3.46,83665,2549113.1
101,2021-01-08,GDEA,29.04,29.47,29.5,28,0.43,1.48,281705,6931831.45
102,2021-01-07,GDEA,29.69,29.04,29.66,28.45,-0.65,-2.19,309975,7676966
103,2021-01-06,GDEA,28.41,29.69,31.2,26,1.28,4.51,1488,42128.6
104,2021-01-05,GDEA,27.94,28.41,28.66,26,0.47,1.68,12809,362587.14
105,2021-01-04,GDEA,28.41,27.94,28.86,26,-0.47,-1.65,22155,617880
106,2020-12-31,GDEA,28.37,28.41,28.89,26,0.04,0.14,565105,15834782.89
107,2020-12-30,GDEA,28.24,28.37,28.87,28.36,0.13,0.46,21968,623271.56
108,2020-12-29,GDEA,28.88,28.24,28.87,26.5,-0.64,-2.22,13361,376389.07
109,2020-12-28,GDEA,28.85,28.88,28.88,26.4,0.03,0.1,1050,28960
110,2020-12-25,GDEA,28.39,28.85,28.88,26,0.46,1.62,309044,8448852
111,2020-12-24,GDEA,28.16,28.39,28.78,26.66,0.23,0.82,442407,10676739.91
112,2020-12-23,GDEA,28.34,28.16,28.77,26,-0.18,-0.64,49956,1405806.6
113,2020-12-22,GDEA,28.26,28.34,28.96,26.3,0.08,0.28,11576,326900.1
114,2020-12-21,GDEA,28.36,28.26,28.98,26.33,-0.1,-0.35,10945,308409.16
115,2020-12-18,GDEA,28.45,28.36,28.99,26,-0.09,-0.32,55912,1584539.34
116,2020-12-17,GDEA,28.44,28.45,28.98,26.2,0.01,0.04,134120,3589437.03
117,2020-12-16,GDEA,28.29,28.44,28.98,27.02,0.15,0.53,126500,3503600
