,Unnamed: 0,Date,Trading Index,Open Price,Settlement Price (yuan/ton),Highest Price,Lowest Price,Price Change,Return,Settlement Volume (ton),Turnover (yuan)
1514,1514,2014-05-04,GDEA,70.88,68.2,68.2,68.2,-2.68,-0.0378,15,1023.0
1513,1513,2014-05-05,GDEA,68.2,66.8,66.8,66.8,-1.4,-0.020499999999999997,18,1202.4
1512,1512,2014-05-08,GDEA,66.8,62.1,62.1,62.1,-4.7,-0.0704,16,993.6
1511,1511,2014-05-09,GDEA,62.1,65.12,65.12,65.12,3.02,0.048600000000000004,12,781.44
1510,1510,2014-05-14,GDEA,65.12,67.8,67.8,67.8,2.68,0.0412,14,949.2
1509,1509,2014-05-15,GDEA,67.8,69.5,69.5,69.5,1.7,0.025099999999999997,8,556.0
1508,1508,2014-05-16,GDEA,69.5,71.2,71.2,71.2,1.7,0.0245,7,498.4
1507,1507,2014-05-19,GDEA,71.2,74.6,74.6,74.6,3.4,0.0478,5,373.0
1506,1506,2014-05-20,GDEA,74.6,77.0,77.0,77.0,2.4,0.0322,4,308.0
1505,1505,2014-05-21,GDEA,77.0,74.7,74.7,74.7,-2.3,-0.029900000000000003,5,373.5
1504,1504,2014-05-22,GDEA,74.7,73.0,73.0,73.0,-1.7,-0.022799999999999997,5,365.0
1503,1503,2014-05-23,GDEA,73.0,70.02,70.02,70.02,-2.98,-0.0408,6,420.12
1502,1502,2014-05-28,GDEA,70.02,63.02,63.02,63.02,-7.0,-0.1,7,441.14
1501,1501,2014-05-29,GDEA,63.02,65.18,65.18,65.18,2.16,0.034300000000000004,5,325.9
1500,1500,2014-05-30,GDEA,65.18,61.18,61.18,61.18,-4.0,-0.061399999999999996,5,305.9
1499,1499,2014-06-03,GDEA,61.18,63.5,63.5,63.5,2.32,0.0379,6,381.0
1498,1498,2014-06-05,GDEA,63.5,66.38,68.6,60.0,2.88,0.0454,188050,11284047.68
1497,1497,2014-06-06,GDEA,66.33,68.5,68.5,60.0,2.17,0.0327,90007,5400479.5
1496,1496,2014-06-09,GDEA,68.5,62.5,62.5,62.5,-6.0,-0.0876,6,375.0
1495,1495,2014-06-10,GDEA,62.5,63.5,63.5,63.5,1.0,0.016,172600,10356017.5
1494,1494,2014-06-11,GDEA,63.5,65.16,65.16,65.16,1.66,0.026099999999999998,7,456.12
1493,1493,2014-06-13,GDEA,65.16,66.82,66.82,66.82,1.66,0.0255,5,334.1
1492,1492,2014-06-16,GDEA,66.82,63.32,64.9,60.18,-3.5,-0.0524,15,949.78
1491,1491,2014-06-17,GDEA,63.32,60.28,62.3,60.0,-3.04,-0.048,66,3978.8
1490,1490,2014-06-18,GDEA,60.28,60.22,64.68,60.2,-0.06,-0.001,1005,60523.4
1489,1489,2014-06-19,GDEA,60.22,63.0,63.0,63.0,2.78,0.046200000000000005,6,378.0
1488,1488,2014-06-20,GDEA,63.0,63.51,63.51,63.51,0.51,0.008100000000000001,5,317.55
