Trading Index,Date,Settlement Price (yuan/ton),Highest Price,Lowest Price,Settlement Volume (ton),Turnover (yuan)
HBEA,2021-06-16,31.49,35.25,28.91,51106.0,1575446.25
HBEA,2021-06-15,32.06,32.46,27.67,2256.0,71101.31
HBEA,2021-06-11,30.56,32.0,30.31,5728.0,179753.55
HBEA,2021-06-10,30.29,31.0,28.02,10234.0,314945.84
HBEA,2021-06-09,30.6,33.14,30.5,6425.0,206955.64
HBEA,2021-06-08,30.13,32.98,27.21,22101.0,604326.51
HBEA,2021-06-07,30.16,30.8,30.15,6523.0,198008.59
HBEA,2021-06-04,30.78,30.81,30.09,13432.0,407213.69
HBEA,2021-06-03,30.83,32.99,30.22,3530.0,106882.55
HBEA,2021-06-02,30.28,33.99,29.08,10416.0,302954.73
HBEA,2021-06-01,30.98,34.4,30.0,108689.0,3691517.11
HBEA,2021-05-31,33.04,33.04,29.86,22840.0,691981.05
HBEA,2021-05-28,30.06,32.8,30.06,10711.0,322838.00
HBEA,2021-05-27,30.15,32.99,29.71,3172.0,95837.63
HBEA,2021-05-26,30.01,33.4,29.07,26937.0,812621.66
HBEA,2021-05-25,30.37,31.99,30.13,8369.0,254114.07
HBEA,2021-05-24,30.53,33.37,30.02,5276.0,168953.97
HBEA,2021-05-21,30.34,32.99,27.1,8076.0,235345.41
HBEA,2021-05-20,30.04,33.99,28.34,771.0,23847.84
HBEA,2021-05-19,31.49,31.98,29.72,37.0,1125.08
HBEA,2017-07-14,13.90,13.99,13.21,181046.00,2502346.69
HBEA,2017-07-13,13.91,13.96,13.85,386336.00,5381028.09
HBEA,2017-07-12,13.80,13.97,13.02,152829.00,2099339.89
HBEA,2017-07-11,14.00,14.00,13.50,173732.00,2413330.48
HBEA,2017-07-10,13.92,14.54,13.11,57841.00,798789.45
HBEA,2017-07-07,14.00,14.20,13.96,100122.00,1405008.32
HBEA,2017-07-06,14.00,14.38,13.60,150845.00,2091384.49
HBEA,2017-07-05,13.95,14.34,13.65,338520.00,4756140.67
HBEA,2017-07-04,14.07,14.50,13.67,119026.00,1690610.67
HBEA,2017-07-03,13.67,13.78,13.41,109463.00,1494696.16
HBEA,2017-06-30,13.58,13.70,13.50,136324.00,1850807.23
HBEA,2017-06-29,13.44,13.80,13.25,160743.00,2144540.85
HBEA,2017-06-28,13.68,13.99,13.32,173219.00,2410514.98
HBEA,2017-06-27,13.99,14.19,12.51,141632.00,1964714.88
HBEA,2017-06-26,13.90,14.50,13.90,171768.00,2418343.84
HBEA,2017-06-23,14.36,14.99,14.30,229987.00,3330719.92
HBEA,2017-06-22,14.71,16.21,14.00,243525.00,3727920.92
HBEA,2017-06-21,15.33,15.55,15.01,159492.00,2440128.95
HBEA,2017-06-20,15.40,15.60,14.08,150205.00,2334295.41
HBEA,2017-06-19,15.60,16.39,15.41,143297.00,2241889.21
HBEA,2017-08-11,12.56,12.80,12.49,2841.00,35865.04
HBEA,2017-08-10,12.40,12.69,12.39,458.00,5677.29
HBEA,2017-08-09,12.43,12.43,12.20,922.00,11345.83
HBEA,2017-08-08,12.41,12.69,12.02,9124.00,111634.46
HBEA,2017-08-07,12.29,12.78,11.81,989.00,12353.79
HBEA,2017-08-04,12.23,12.50,11.51,25931.00,304472.60
HBEA,2017-08-03,12.00,12.34,11.26,18045.00,213012.33
HBEA,2017-08-02,11.56,13.20,11.50,67335.00,793054.61
HBEA,2017-08-01,12.28,13.18,12.00,63816.00,790349.33
HBEA,2017-07-31,13.01,13.89,12.75,487229.00,6402611.33
HBEA,2017-07-28,13.11,13.31,12.35,305339.00,4014566.02
HBEA,2017-07-27,13.31,13.44,13.28,310254.00,4134938.78
HBEA,2017-07-26,13.32,13.75,13.00,146373.00,1950927.08
HBEA,2017-07-25,13.22,13.40,12.55,196458.00,2594795.81
HBEA,2017-07-24,13.48,13.80,13.01,393721.00,5326554.98
HBEA,2017-07-21,13.45,13.70,12.68,276133.00,3633288.36
HBEA,2017-07-20,12.88,13.33,12.41,66329.00,846221.99
HBEA,2017-07-19,13.19,13.85,12.99,191379.00,2546098.10
HBEA,2017-07-18,13.65,13.95,13.30,150363.00,2049043.50
HBEA,2017-07-17,13.88,13.97,13.45,153732.00,2116053.88
HBEA,2018-01-08,15.01,15.59,13.24,63244,843098.6
HBEA,2018-01-05,14.7,15.39,13.6,8144,120422.4
HBEA,2018-01-04,15.02,15.39,13.81,1090,16609.11
HBEA,2018-01-03,15.29,15.4,15.11,2905,44144.67
HBEA,2018-01-02,15.23,15.58,15.2,631,9598.68
HBEA,2017-12-29,15.68,15.96,15.3,11760,185213.8
HBEA,2017-12-28,15.52,15.71,14.14,13551,212531.98
HBEA,2017-12-27,15.63,16.04,15.48,18009,284273.47
HBEA,2017-12-26,15.62,15.74,15.5,15183,237199.65
HBEA,2017-12-25,15.6,15.75,15.28,7203,112888.87
HBEA,2017-12-22,15.45,16.6,15.31,21862,340434.9
HBEA,2017-12-21,15.38,15.95,15.25,10797,166595.63
HBEA,2017-12-20,15.32,16.08,15.3,21772,336464.58
HBEA,2017-12-19,15.19,15.5,15.1,35839,550242.38
HBEA,2017-12-18,15.05,15.47,14.51,5756,87375.57
HBEA,2017-12-15,15.19,15.88,15.1,12026,182387.82
HBEA,2017-12-14,15.21,15.48,15.1,19470,295943.23
HBEA,2017-12-13,15.24,15.47,15.16,36179,552291.2
HBEA,2017-12-12,15.49,15.58,15.1,37316,568743.02
HBEA,2017-12-11,15.33,15.98,15.16,4644,70667.33
HBEA,2017-12-08,15.16,15.69,15.10,9826.00,149139.85
HBEA,2017-12-07,15.19,15.45,15.15,6557.00,99647.92
HBEA,2017-12-06,15.17,15.49,15.10,3998.00,60989.45
HBEA,2017-12-05,15.26,15.79,15.03,15068.00,231983.87
HBEA,2017-12-04,15.33,15.68,14.91,8792.00,132713.55
HBEA,2017-12-01,14.95,15.49,14.79,33299.00,498636.24
HBEA,2017-11-30,14.88,15.43,14.80,6565.00,98239.24
HBEA,2017-11-29,14.98,15.76,14.85,7934.00,118146.20
HBEA,2017-11-28,15.14,15.20,14.91,8198.00,122462.92
HBEA,2017-11-27,14.93,15.68,14.90,14086.00,211588.24
HBEA,2017-11-24,15.27,15.64,15.02,8045.00,123500.15
HBEA,2017-11-23,15.36,16.18,13.61,1832.00,27843.19
HBEA,2017-11-22,15.10,15.95,14.90,27944.00,431517.69
HBEA,2017-11-21,15.70,16.20,15.68,6188.00,97920.77
HBEA,2017-11-20,15.95,16.50,15.88,9991.00,159153.85
HBEA,2017-11-17,16.02,16.60,15.81,12769.00,205069.32
HBEA,2017-11-16,16.01,16.37,15.67,240247.00,3878580.57
HBEA,2017-11-15,15.99,16.46,15.80,15995.00,259090.44
HBEA,2017-11-14,16.20,16.55,15.85,53446.00,874930.14
HBEA,2017-11-13,16.19,17.48,15.90,54574.00,899646.54
HBEA,2017-10-13,14.61,14.77,13.90,1143.00,15974.91
HBEA,2017-10-12,13.71,14.39,13.40,922.00,12940.93
HBEA,2017-10-11,13.40,13.40,12.00,11900.00,145550.00
HBEA,2017-10-10,12.18,14.39,12.18,18002.00,219267.78
HBEA,2017-10-09,13.51,15.18,13.48,31.00,437.91
HBEA,2017-09-29,13.81,13.88,13.80,405.00,5592.27
HBEA,2017-09-28,13.50,14.37,12.00,111372.00,1488536.27
HBEA,2017-09-27,13.25,13.69,11.93,407.00,5547.87
HBEA,2017-09-26,13.25,14.60,13.21,5175.00,74754.75
HBEA,2017-09-25,13.30,13.39,13.20,1095.00,14567.05
HBEA,2017-09-22,13.05,13.38,13.05,6.00,78.63
HBEA,2017-09-21,13.08,13.30,13.08,672.00,8936.49
HBEA,2017-09-20,13.01,13.30,13.01,473.00,6156.52
HBEA,2017-09-19,13.19,13.48,13.01,204.00,2691.68
HBEA,2017-09-18,13.10,13.33,13.10,123.00,1611.73
HBEA,2017-09-15,13.08,13.50,13.02,77278.00,1010412.61
HBEA,2017-09-14,13.10,14.49,12.90,64280.00,838493.72
HBEA,2017-09-13,13.20,13.20,12.89,102978.00,1330104.80
HBEA,2017-09-12,13.01,13.30,12.96,81533.00,1059216.66
HBEA,2017-09-11,13.17,13.83,12.72,84083.00,1082102.17
HBEA,2018-02-05,14.64,16.43,14.64,12.0,179.57
HBEA,2018-02-02,14.97,15.28,14.7,30114.0,447677.73
HBEA,2018-02-01,14.85,15.86,14.69,54563.0,807250.94
HBEA,2018-01-31,15.14,15.2,14.1,73998.0,1102027.51
HBEA,2018-01-30,15.44,15.96,14.5,710.0,10306.22
