,Trading Index,Date,Settlement Price (yuan/ton),Highest Price,Lowest Price,Settlement Volume (ton),Turnover (yuan),Return
590,,1970-01-01,,,,,,
589,HBEA,2017-04-05,16.55,17.90,16.50,9382.00,167152.08,
588,HBEA,2017-04-06,16.55,16.55,15.50,11126.00,179145.25,0.0
587,HBEA,2017-04-07,16.03,17.00,16.01,38449.00,637564.37,-0.03141993957703926
586,HBEA,2017-04-10,16.0,16.48,16.00,11418.00,184092.65,-0.0018714909544604863
585,HBEA,2017-04-11,15.89,16.19,15.51,34554.00,551255.02,-0.0068749999999999645
584,HBEA,2017-04-12,15.3,15.70,14.60,93268.00,1399910.20,-0.037130270610446825
583,HBEA,2017-04-13,14.81,15.20,14.51,118153.00,1734203.41,-0.03202614379084967
582,HBEA,2017-04-14,14.59,15.00,13.50,50182.00,709297.38,-0.014854827819041239
581,HBEA,2017-04-17,15.25,15.95,14.50,51771.00,760241.70,0.04523646333104869
580,HBEA,2017-04-18,15.34,15.66,14.60,116520.00,1764938.72,0.005901639344262355
259,HBEA,2017-04-19,15.52,15.87,15.48,67552.00,1056588.90,0.011734028683181297
258,HBEA,2017-04-20,15.54,15.60,15.36,21260.00,328409.19,0.0012886597938144284
257,HBEA,2017-04-21,15.9,16.08,15.04,126544.00,2013150.39,0.023166023166023342
256,HBEA,2017-04-24,16.08,17.33,15.61,87614.00,1417353.62,0.011320754716980908
255,HBEA,2017-04-25,16.77,16.94,16.09,45572.00,756246.54,0.042910447761194126
254,HBEA,2017-04-26,16.69,17.80,15.10,13447.00,223492.28,-0.004770423375074384
253,HBEA,2017-04-27,16.54,17.00,15.15,81352.00,1269651.05,-0.008987417615338611
252,HBEA,2017-04-28,16.29,17.99,15.50,35544.00,576583.11,-0.015114873035066534
251,HBEA,2017-05-02,16.12,17.29,16.10,9194.00,149882.24,-0.010435850214855602
250,HBEA,2017-05-03,15.84,17.18,14.51,30036.00,473119.96,-0.017369727047146455
249,HBEA,2017-05-04,16.21,16.70,14.50,208920.00,3220078.18,0.023358585858585856
248,HBEA,2017-05-05,16.2,16.47,16.00,128196.00,2079965.55,-0.0006169031462061048
247,HBEA,2017-05-08,16.29,16.88,16.20,50599.00,838120.44,0.005555555555555536
246,HBEA,2017-05-09,16.5,16.77,16.34,38130.00,628366.44,0.012891344383057168
245,HBEA,2017-05-10,16.48,16.89,16.19,65950.00,1088374.04,-0.00121212121212122
244,HBEA,2017-05-11,16.23,16.70,16.20,49102.00,804893.94,-0.015169902912621325
243,HBEA,2017-05-12,16.34,16.50,16.30,112257.00,1841538.82,0.0067775723967959944
242,HBEA,2017-05-15,16.33,16.41,16.32,47984.00,785072.56,-0.000611995104039309
241,HBEA,2017-05-16,16.37,16.40,15.50,92796.00,1471027.02,0.0024494794856093627
240,HBEA,2017-05-17,16.4,16.46,16.32,232229.00,3805336.94,0.0018326206475258733
299,HBEA,2017-05-18,16.48,16.55,16.11,250302.00,4107410.84,0.004878048780487809
298,HBEA,2017-05-19,16.85,16.90,16.46,131997.00,2199961.59,0.022451456310679685
297,HBEA,2017-05-22,16.91,17.79,16.50,105241.00,1765606.83,0.0035608308605341588
296,HBEA,2017-05-23,16.91,17.00,15.71,92381.00,1553741.75,0.0
295,HBEA,2017-05-24,16.84,17.15,16.67,32157.00,544594.44,-0.004139562389118834
294,HBEA,2017-05-25,16.92,17.08,15.81,113465.00,1906484.81,0.004750593824228044
293,HBEA,2017-05-26,16.7,16.90,16.48,108470.00,1813845.20,-0.013002364066194039
292,HBEA,2017-05-31,16.71,16.73,16.50,39886.00,665618.15,0.0005988023952097077
291,HBEA,2017-06-01,16.63,17.00,16.51,58834.00,978805.80,-0.004787552363854086
290,HBEA,2017-06-02,16.28,16.50,16.20,16249.00,266620.60,-0.021046301864100947
289,HBEA,2017-06-05,16.11,16.74,16.11,54149.00,888308.56,-0.010442260442260598
288,HBEA,2017-06-06,16.09,16.15,15.50,48316.00,770356.23,-0.0012414649286157653
287,HBEA,2017-06-07,15.78,16.98,15.60,62942.00,1018053.31,-0.019266625233063994
286,HBEA,2017-06-08,15.81,16.40,15.56,24044.00,386364.86,0.0019011406844107182
285,HBEA,2017-06-09,15.85,15.95,15.50,28862.00,454831.11,0.0025300442757747454
284,HBEA,2017-06-12,15.94,16.47,15.50,81820.00,1301784.24,0.005678233438485725
283,HBEA,2017-06-13,15.46,16.76,15.42,113716.00,1771526.79,-0.030112923462986108
282,HBEA,2017-06-14,15.65,16.50,14.00,94537.00,1479849.06,0.012289780077619605
281,HBEA,2017-06-15,15.64,15.88,15.55,114848.00,1796149.60,-0.0006389776357826893
280,HBEA,2017-06-16,15.65,15.98,14.10,162341.00,2527775.50,0.0006393861892584063
39,HBEA,2017-06-19,15.6,16.39,15.41,143297.00,2241889.21,-0.0031948881789137795
38,HBEA,2017-06-20,15.4,15.60,14.08,150205.00,2334295.41,-0.012820512820512775
37,HBEA,2017-06-21,15.33,15.55,15.01,159492.00,2440128.95,-0.004545454545454519
36,HBEA,2017-06-22,14.71,16.21,14.00,243525.00,3727920.92,-0.04044357469015003
35,HBEA,2017-06-23,14.36,14.99,14.30,229987.00,3330719.92,-0.023793337865397834
34,HBEA,2017-06-26,13.9,14.50,13.90,171768.00,2418343.84,-0.03203342618384397
33,HBEA,2017-06-27,13.99,14.19,12.51,141632.00,1964714.88,0.006474820143884896
32,HBEA,2017-06-28,13.68,13.99,13.32,173219.00,2410514.98,-0.022158684774839177
31,HBEA,2017-06-29,13.44,13.80,13.25,160743.00,2144540.85,-0.01754385964912286
30,HBEA,2017-06-30,13.58,13.70,13.50,136324.00,1850807.23,0.01041666666666674
29,HBEA,2017-07-03,13.67,13.78,13.41,109463.00,1494696.16,0.006627393225331346
28,HBEA,2017-07-04,14.07,14.50,13.67,119026.00,1690610.67,0.029261155815654805
27,HBEA,2017-07-05,13.95,14.34,13.65,338520.00,4756140.67,-0.008528784648187737
26,HBEA,2017-07-06,14.0,14.38,13.60,150845.00,2091384.49,0.0035842293906811484
25,HBEA,2017-07-07,14.0,14.20,13.96,100122.00,1405008.32,0.0
24,HBEA,2017-07-10,13.92,14.54,13.11,57841.00,798789.45,-0.005714285714285672
23,HBEA,2017-07-11,14.0,14.00,13.50,173732.00,2413330.48,0.005747126436781658
22,HBEA,2017-07-12,13.8,13.97,13.02,152829.00,2099339.89,-0.014285714285714235
21,HBEA,2017-07-13,13.91,13.96,13.85,386336.00,5381028.09,0.007971014492753614
20,HBEA,2017-07-14,13.9,13.99,13.21,181046.00,2502346.69,-0.0007189072609633529
59,HBEA,2017-07-17,13.88,13.97,13.45,153732.00,2116053.88,-0.0014388489208633226
58,HBEA,2017-07-18,13.65,13.95,13.30,150363.00,2049043.50,-0.016570605187319898
57,HBEA,2017-07-19,13.19,13.85,12.99,191379.00,2546098.10,-0.0336996336996338
56,HBEA,2017-07-20,12.88,13.33,12.41,66329.00,846221.99,-0.023502653525397932
55,HBEA,2017-07-21,13.45,13.70,12.68,276133.00,3633288.36,0.044254658385093126
