Date,Trading Index,Open Price,Highest Price,Lowest Price,Settlement Price (yuan/ton),Close Price,Settlement Volume (ton),Turnover (yuan)
2021-06-16,SZA-2020,18.00,20.23,16.55,16.55,16.55,54541,725772.21
2021-06-16,SZA-2019,32.80,37.00,32.40,37.00,37.00,7052,230206.20
2021-06-16,SZA-2018,6.18,6.18,6.18,6.18,6.18,335,2070.30
2021-06-16,SZA-2017,12.73,12.73,10.41,10.41,10.41,8592,109366.88
2021-06-16,SZA-2016,9.00,9.61,9.00,9.61,9.61,4337,40558.61
2021-06-16,SZA-2015,12.73,14.06,11.50,14.06,14.06,2261,28798.16
2021-06-16,SZA-2014,12.29,12.29,12.29,12.29,12.29,3,36.87
2021-06-16,SZA-2013,17.00,17.00,14.71,14.71,14.71,668,11353.71
2021-06-15,SZA-2020,18.39,22.47,18.39,18.39,18.39,14599,216217.67
2021-06-15,SZA-2019,30.20,36.00,30.20,36.00,36.00,46,1406.60
2021-06-15,SZA-2018,5.62,5.62,5.62,5.62,5.62,16803,94432.86
2021-06-15,SZA-2017,14.15,14.15,11.57,11.57,11.57,5173,73182.47
2021-06-15,SZA-2016,8.74,8.74,8.74,8.74,8.74,2,17.48
2021-06-15,SZA-2015,15.62,15.62,12.78,12.78,12.78,3581,54040.62
2021-06-15,SZA-2014,11.17,11.17,11.17,11.17,11.17,4,44.68
2021-06-15,SZA-2013,16.34,,,16.34,16.34,0,0
2021-06-11,SZA-2020,16.71,20.43,16.71,20.43,20.43,6009,100420.56
2021-06-11,SZA-2019,27.45,33.55,27.45,33.55,33.55,145,4010.75
2021-06-11,SZA-2018,5.11,5.11,5.11,5.11,5.11,2114,10802.54
2021-06-11,SZA-2017,12.86,12.86,10.52,12.86,12.86,6656,85577.44
2020-10-29,SZA-2016,7.33,7.33,7.33,7.33,7.33,1,7.33
2020-10-29,SZA-2015,6.82,6.82,6.82,6.82,6.82,1,6.82
2020-10-29,SZA-2014,42.48,,,42.48,42.48,0,0
2020-10-29,SZA-2013,35.22,,,35.22,35.22,0,0
2020-10-28,SZA-2019,33.71,41.20,33.71,41.20,41.20,9,355.82
2020-10-28,SZA-2018,42.99,42.99,35.17,35.17,35.17,4,156.32
2020-10-28,SZA-2017,9.31,9.31,9.31,9.31,9.31,15003,108627.93
2020-10-28,SZA-2016,8.14,8.14,8.14,8.14,8.14,761,6194.54
2020-10-28,SZA-2015,7.58,7.58,7.58,7.58,7.58,1,7.58
2020-10-28,SZA-2014,42.48,,,42.48,42.48,0,0
2020-10-28,SZA-2013,35.22,,,35.22,35.22,0,0
2020-10-27,SZA-2019,41.61,37.45,37.45,37.45,37.45,2,74.90
2020-10-27,SZA-2018,47.76,47.76,39.08,39.08,39.08,4,165.00
2020-10-27,SZA-2017,12.64,12.64,10.34,10.34,10.34,3,33.32
