,Date,Settlement Volume (ton),Settlement Price (yuan/ton),Trading Index,Turnover,Return,index_y,MSCI World Index TR,Barclays Global Aggregate Bond Index TR,Bloomberg Commodity Index TR,S&P 500 Total Return Index,MSCI World Index TR Return,Barclays Global Aggregate Bond Index TR Return,Bloomberg Commodity Index TR Return,S&P 500 Total Return Index Return
0,2018-01-10,1000,43.2,BEA,"43,200.00",-0.2,2931,6095.9980000000005,483.5477,180.1904,5361.33,1.0002361122437244,1.0022071253109957,1.0016348307330392,0.998895153206664
1,2018-01-11,1130,51.8,BEA,"58,534.00",0.19910000000000005,2932,6122.974,484.2147,180.3337,5399.46,1.0044251983022303,1.0013793882175428,1.0007952698922915,1.0071120412285757
2,2018-01-15,2880,51.58,BEA,"148,548.00",-0.0041999999999999815,2936,6185.496999999999,488.1343,181.261,5435.92,1.0039539786169303,1.0047932743481602,1.0,1.0
3,2018-01-24,600,41.3,BEA,"24,780.00",-0.19930000000000006,2945,6294.585,490.4864,184.8365,5537.03,1.0010292435902473,1.0037192872310883,1.0147076100120007,0.9994404463433167
4,2018-01-25,200,49.6,BEA,"9,920.00",0.20100000000000007,2946,6300.456999999999,492.866,184.8334,5540.38,1.0009328653120102,1.0048515106637004,0.9999832284207936,1.0006050174913266
5,2018-01-26,25740,50.27,BEA,"1,293,960.00",0.01350000000000007,2947,6341.535,491.3893,185.5373,5606.08,1.0065198445128665,0.9970038509452873,1.0038082943883517,1.0118583923846378
6,2018-01-30,120,55.0,BEA,"6,600.00",0.09410000000000007,2951,6243.908,489.6726,184.5091,5508.36,0.9910559218368516,1.0008367684305708,0.9962285564955217,0.9891697658507327
7,2018-01-31,140,58.0,BEA,"8,120.00",0.054499999999999986,2952,6241.621,490.5078,183.53099999999998,5511.21,0.9996337229824654,1.001705629434851,0.9946989064496006,1.0005173953772086
8,2018-02-01,96,56.4,BEA,"5,414.40",-0.027599999999999958,2953,6240.563,489.75699999999995,183.6725,5508.7,0.9998304927518028,0.9984693413641944,1.0007709869177417,0.9995445646237395
9,2018-02-05,1,56.0,BEA,56.00,-0.007099999999999995,2957,5933.592,487.2256,180.9374,5171.26,0.9687312095426096,1.000616932539125,0.9932986784556932,0.9590242219794852
