,Date,Open Price,Settlement Price (yuan/ton),Highest Price,Lowest Price,Price Change,Return,Settlement Volume (ton),Turnover (yuan),index_y,MSCI World Index TR,Barclays Global Aggregate Bond Index TR,Bloomberg Commodity Index TR,S&P 500 Total Return Index,MSCI World Index TR Return,Barclays Global Aggregate Bond Index TR Return,Bloomberg Commodity Index TR Return,S&P 500 Total Return Index Return
0,2020-03-02,30.22,30.02,30.85,28.6,-0.2,-0.006600000000000001,468842,12694782.35,3713,6496.5869999999995,524.019,154.5201,6288.64,1.033317337660489,1.0044681878824124,1.02115802099545,1.0460616162069822
1,2020-03-03,30.02,30.1,30.8,29.01,0.08,0.0027,9994,301421.7,3714,6400.927,526.1759,156.0566,6112.07,0.9852753453467182,1.0041160721271556,1.0099436901736407,0.9719223870343985
2,2020-03-04,30.1,30.84,31.49,29.0,0.74,0.0246,10294,317498.86,3715,6588.023,526.9108,156.1423,6370.35,1.0292295162872502,1.0013966812239026,1.0005491597279448,1.042257369434578
3,2020-03-05,30.84,30.06,30.8,29.51,-0.78,-0.0253,25958,780703.03,3716,6440.969,528.5738,154.9835,6155.58,0.9776785843036674,1.0031561319297309,0.992578564552975,0.9662859968447572
4,2020-03-06,30.06,30.73,30.98,29.11,0.67,0.0223,12801,393429.5,3717,6314.628000000001,534.5859,150.9587,6050.8,0.9803847837181021,1.0113741922130837,0.9740307839221595,0.9829780459355577
5,2020-03-09,30.73,30.36,31.2,30.01,-0.37,-0.012,31432,911722.29,3720,5862.356,538.9731,144.6936,5591.74,0.9283770952144765,1.0082067259910896,0.9584979202921065,0.9241323461360481
6,2020-03-10,30.36,30.34,30.88,28.0,-0.02,-0.0007000000000000001,6551,197752.4,3721,6029.166,531.5222,147.784,5868.11,1.0284544302666028,0.9861757479176604,1.0213582356095916,1.0494246871277992
7,2020-03-11,30.34,30.0,30.8,29.11,-0.34,-0.011200000000000002,16664,499965.49,3722,5794.766,528.2103,145.6599,5581.76,0.9611223177467663,0.9937690278976117,0.9856269961565528,0.9512023462409533
8,2020-03-12,30.0,29.93,30.95,28.6,-0.07,-0.0023,76984,2303912.21,3723,5220.98,519.6413,141.1066,5051.97,0.9009820241231483,0.9837772947630897,0.9687401954827649,0.9050854927478071
9,2020-03-13,29.93,29.98,30.88,28.88,0.05,0.0017,17137,513735.13,3724,5530.735,514.0993,139.276,5522.85,1.0593288999383257,0.9893349508593716,0.9870268293616318,1.0932072043183154
