Date,Trading Index,Settlement Volume (ton),Turnover (yuan),Settlement Price (yuan/ton)
2021-06-16,TJEA20,"312,725","10,249,013",32.77
2021-06-15,TJEA20,"40,000","1,320,000",33.00
2021-06-11,TJEA20,"5,138","166,985",32.50
2021-06-10,TJEA20,"31,382","864,850",27.56
2021-06-09,TJEA20,"525,439","17,326,768",32.98
2021-06-08,TJEA20,"280,000","9,184,000",32.80
2021-06-07,TJEA20,"320,000","9,792,000",30.60
2021-06-04,TJEA20,"117,000","3,802,500",32.50
2021-06-03,TJEA20,"8,810","290,730",33.00
2021-06-02,TJEA20,"20,000","660,000",33.00
2021-06-01,TJEA20,"40,000","1,240,000",31.00
2021-05-28,TJEA20,"44,000","1,311,200",29.80
2021-05-27,TJEA20,"20,000","580,000",29.00
2021-05-26,TJEA20,"14,200","397,600",28.00
2021-05-19,TJEA20,"14,000","378,000",27.00
2021-05-18,TJEA20,"2,000","58,000",29.00
2021-05-17,TJEA20,40,"1,160",29.00
2021-05-13,TJEA20,"14,026","399,741",28.50
2021-04-28,TJEA20,"7,300","203,524",27.88
2021-04-27,TJEA20,"1,600","44,800",28.00
2014-01-30,TJEA13,880,"22,516",25.59
2014-01-29,TJEA13,"1,580","40,258",25.48
2014-01-28,TJEA13,"1,660","42,620",25.68
2014-01-27,TJEA13,"1,780","45,962",25.82
2014-01-24,TJEA13,"2,200","57,453",26.12
2014-01-23,TJEA13,"2,400","62,743",26.14
2014-01-22,TJEA13,"1,800","47,028",26.13
2014-01-21,TJEA13,"2,020","52,750",26.11
2014-01-20,TJEA13,"2,160","56,541",26.18
2014-01-17,TJEA13,"1,880","49,210",26.18
2014-01-16,TJEA13,"2,100","55,141",26.26
2014-01-15,TJEA13,"2,260","59,187",26.19
2014-01-14,TJEA13,"1,900","50,176",26.41
2014-01-13,TJEA13,"2,820","74,677",26.48
2014-01-10,TJEA13,"2,620","69,317",26.46
2014-01-09,TJEA13,"2,400","63,558",26.48
2014-01-08,TJEA13,"2,180","57,865",26.54
2014-01-07,TJEA13,"1,600","42,826",26.77
2014-01-06,TJEA13,"2,040","54,736",26.83
2014-01-03,TJEA13,"3,260","87,601",26.87
2014-04-03,TJEA13,240,"7,472",31.14
2014-04-02,TJEA13,780,"25,553",32.76
2014-04-01,TJEA13,200,"7,002",35.01
2014-03-31,TJEA13,300,"10,145",33.82
2014-03-28,TJEA13,240,"8,342",34.76
2014-03-27,TJEA13,360,"12,083",33.57
2014-03-26,TJEA13,220,"7,305",33.20
2014-03-25,TJEA13,840,"29,705",35.36
2014-03-24,TJEA13,200,"7,063",35.31
2014-03-21,TJEA13,"2,020","78,458",38.84
2014-03-20,TJEA13,180,"7,660",42.56
2014-03-19,TJEA13,"2,220","101,208",45.59
2014-03-18,TJEA13,40,"2,004",50.11
2014-03-17,TJEA13,440,"21,216",48.22
2014-03-14,TJEA13,440,"20,910",47.52
2014-03-13,TJEA13,460,"21,193",46.07
2014-03-12,TJEA13,340,"14,772",43.45
2014-03-11,TJEA13,260,"10,424",40.09
2014-03-10,TJEA13,280,"10,212",36.47
2014-03-07,TJEA13,360,"11,951",33.20
2014-03-06,TJEA13,"1,480","47,457",32.07
2014-03-05,TJEA13,540,"17,036",31.55
