,level_0,index,Date,Trading Index,Settlement Volume (ton),Turnover (yuan),Settlement Price (yuan/ton),Return
0,270,297,2015-08-07,TJEA15,800,"17,040",21.3,
1,271,296,2015-08-10,TJEA15,340,"7,512",22.09,0.0370892018779343
2,272,295,2015-08-11,TJEA15,220,"4,855",22.07,-0.0009053870529651675
3,273,294,2015-08-12,TJEA15,280,"6,206",22.16,0.004077933846850845
4,274,293,2015-08-31,TJEA15,400,"8,909",22.27,0.00496389891696758
5,275,292,2015-09-01,TJEA15,420,"9,386",22.35,0.0035922766052987054
6,276,291,2015-09-02,TJEA15,460,"10,332",22.46,0.004921700223713632
7,277,290,2015-09-07,TJEA15,400,"9,023",22.56,0.0044523597506678225
8,278,289,2015-09-08,TJEA15,260,"5,838",22.45,-0.004875886524822626
9,279,288,2015-09-09,TJEA15,280,"6,309",22.53,0.0035634743875279096
10,280,287,2015-09-10,TJEA15,240,"5,468",22.78,0.011096316023080366
11,281,286,2015-09-11,TJEA15,100,"2,300",23.0,0.009657594381035972
12,282,285,2015-09-14,TJEA15,180,"4,080",22.67,-0.014347826086956394
13,283,284,2015-09-15,TJEA15,240,"5,504",22.93,0.011468901632112782
14,284,323,2015-09-16,TJEA15,340,"7,820",23.0,0.0030527692978630228
15,285,322,2015-09-17,TJEA15,280,"6,449",23.03,0.0013043478260870156
16,286,321,2015-09-18,TJEA15,340,"7,861",23.12,0.0039079461571862595
17,287,320,2015-09-21,TJEA15,280,"6,469",23.1,-0.0008650519031141446
18,288,319,2015-09-22,TJEA15,320,"7,380",23.06,-0.0017316017316018062
19,289,318,2015-09-23,TJEA15,340,"7,858",23.11,0.002168256721595929
20,290,317,2015-09-24,TJEA15,380,"8,757",23.05,-0.0025962786672435456
21,291,316,2015-09-25,TJEA15,420,"9,688",23.07,0.0008676789587851452
22,292,315,2015-09-28,TJEA15,280,"6,458",23.06,-0.0004334633723450665
23,293,314,2015-09-29,TJEA15,340,"7,863",23.13,0.0030355594102342565
24,294,313,2015-09-30,TJEA15,500,"11,585",23.17,0.0017293558149591437
25,295,312,2015-10-08,TJEA15,380,"8,970",23.61,0.018990073370737992
26,296,311,2015-10-09,TJEA15,420,"9,928",23.64,0.0012706480304955914
27,297,310,2015-10-12,TJEA15,480,"11,508",23.98,0.014382402707275865
28,298,309,2015-10-13,TJEA15,140,"3,360",24.0,0.0008340283569641116
29,299,308,2015-10-14,TJEA15,180,"4,334",24.08,0.0033333333333331883
30,300,307,2015-10-15,TJEA15,180,"4,306",23.92,-0.006644518272425071
31,301,306,2015-10-16,TJEA15,160,"3,843",24.02,0.004180602006688794
32,302,305,2015-10-19,TJEA15,180,"4,329",24.05,0.0012489592006661443
33,303,304,2015-10-20,TJEA15,160,"3,851",24.07,0.0008316008316007206
34,304,325,2015-11-16,TJEA15,100,"2,286",22.86,-0.050270045700041566
35,305,324,2015-11-17,TJEA15,120,"2,754",22.95,0.003937007874015741
36,306,345,2015-11-18,TJEA15,140,"3,224",23.03,0.0034858387799565627
37,307,344,2015-11-19,TJEA15,100,"2,298",22.98,-0.002171081198436897
38,308,343,2015-11-23,TJEA15,120,"2,751",22.93,-0.0021758050478677404
39,309,342,2015-11-24,TJEA15,100,"2,297",22.97,0.0017444395987789019
40,310,341,2015-11-25,TJEA15,120,"2,752",22.94,-0.0013060513713538668
41,311,340,2015-11-26,TJEA15,140,"3,204",22.89,-0.0021795989537924942
42,312,339,2015-11-30,TJEA15,120,"2,752",22.93,0.00174748798601998
43,313,338,2015-12-01,TJEA15,140,"3,211",22.93,0.0
44,314,337,2015-12-02,TJEA15,140,"3,200",22.86,-0.0030527692978630228
45,315,336,2015-12-03,TJEA15,100,"2,289",22.89,0.001312335958005395
46,316,335,2015-12-04,TJEA15,140,"3,195",22.82,-0.003058103975535187
47,317,334,2015-12-07,TJEA15,120,"2,744",22.87,0.002191060473269113
48,318,333,2015-12-08,TJEA15,60,"1,371",22.85,-0.0008745080891997548
49,319,332,2015-12-09,TJEA15,120,"2,744",22.87,0.0008752735229760056
50,320,331,2015-12-10,TJEA15,60,"1,371",22.85,-0.0008745080891997548
51,321,330,2015-12-11,TJEA15,140,"3,196",22.83,-0.0008752735229761166
52,322,329,2015-12-14,TJEA15,120,"2,744",22.87,0.001752080595707417
53,323,328,2015-12-15,TJEA15,140,"3,201",22.86,-0.0004372540445999329
54,324,327,2015-12-16,TJEA15,100,"2,282",22.82,-0.0017497812773402677
55,325,326,2015-12-17,TJEA15,120,"2,743",22.86,0.0017528483786151128
56,326,365,2015-12-18,TJEA15,140,"3,197",22.84,-0.0008748906386701893
57,327,364,2015-12-21,TJEA15,160,"3,658",22.86,0.0008756567425569628
58,328,363,2015-12-22,TJEA15,60,"1,371",22.85,-0.00043744531933498365
59,329,362,2015-12-24,TJEA15,60,"1,369",22.82,-0.0013129102844638973
60,330,361,2015-12-28,TJEA15,120,"2,737",22.81,-0.0004382120946538892
61,331,360,2015-12-30,TJEA15,100,"2,282",22.82,0.00043840420868046515
62,332,359,2016-01-04,TJEA15,120,"2,739",22.83,0.0004382120946537782
63,333,358,2016-01-06,TJEA15,140,"3,193",22.81,-0.0008760402978537085
64,334,357,2016-01-11,TJEA15,140,"3,188",22.77,-0.0017536168347215275
65,335,356,2016-01-20,TJEA15,60,"1,368",22.8,0.0013175230566535578
66,336,355,2016-02-26,TJEA15,160,"3,679",22.99,0.008333333333333304
67,337,354,2016-02-29,TJEA15,100,"2,303",23.03,0.0017398869073510514
68,338,353,2016-03-01,TJEA15,120,"2,770",23.08,0.002171081198436786
69,339,352,2016-03-02,TJEA15,60,"1,387",23.12,0.0017331022530331364
70,340,351,2016-03-03,TJEA15,100,"2,309",23.09,-0.001297577854671328
71,341,350,2016-03-08,TJEA15,80,"1,844",23.05,-0.0017323516673883876
72,342,349,2016-03-09,TJEA15,40,920,23.0,-0.002169197396963196
73,343,348,2016-03-11,TJEA15,60,"1,384",23.06,0.002608695652173809
74,344,347,2016-03-15,TJEA15,60,"1,386",23.1,0.0017346053772768766
75,345,346,2016-03-17,TJEA15,120,"2,779",23.16,0.0025974025974024872
76,346,385,2016-03-18,TJEA15,100,"2,320",23.2,0.0017271157167528806
77,347,384,2016-03-22,TJEA15,40,926,23.15,-0.0021551724137931494
78,348,383,2016-03-24,TJEA15,140,"3,232",23.09,-0.0025917926565873772
79,349,382,2016-03-25,TJEA15,60,"1,385",23.08,-0.0004330879168471524
80,350,381,2016-03-30,TJEA15,100,"2,313",23.13,0.002166377816291254
81,351,380,2016-04-01,TJEA15,120,"2,780",23.17,0.0017293558149591437
82,352,379,2016-04-05,TJEA15,60,"1,392",23.2,0.0012947777298228935
83,353,378,2016-04-06,TJEA15,80,"1,860",23.25,0.0021551724137931494
84,354,377,2016-04-07,TJEA15,60,"1,393",23.22,-0.001290322580645209
85,355,376,2016-04-08,TJEA15,80,"1,856",23.2,-0.0008613264427217437
86,356,375,2016-04-12,TJEA15,100,"2,319",23.19,-0.00043103448275849665
87,357,374,2016-04-13,TJEA15,60,"1,393",23.22,0.001293661060801865
88,358,373,2016-04-15,TJEA15,100,"2,325",23.25,0.0012919896640828377
89,359,372,2016-04-18,TJEA15,80,"1,854",23.18,-0.0030107526881720803
90,360,371,2016-04-19,TJEA15,60,"1,392",23.2,0.0008628127696290733
91,361,370,2016-04-20,TJEA15,40,924,23.1,-0.004310344827586077
92,362,369,2016-04-21,TJEA15,60,"1,389",23.15,0.0021645021645020357
93,363,368,2016-04-22,TJEA15,100,"2,318",23.18,0.0012958963282938551
94,364,367,2016-04-25,TJEA15,100,"2,316",23.16,-0.0008628127696289623
95,365,366,2016-04-26,TJEA15,80,"1,851",23.14,-0.0008635578583764403
96,366,405,2016-04-27,TJEA15,60,"1,389",23.15,0.00043215211754521476
97,367,404,2016-04-28,TJEA15,100,"2,317",23.17,0.0008639308855293848
98,368,403,2016-04-29,TJEA15,60,"1,389",23.15,-0.0008631851532154844
99,369,402,2016-05-03,TJEA15,80,"1,854",23.18,0.0012958963282938551
100,370,401,2016-05-04,TJEA15,80,"1,855",23.19,0.00043140638481453664
101,371,400,2016-05-05,TJEA15,60,"1,390",23.17,-0.0008624407072013174
102,372,399,2016-05-06,TJEA15,80,"1,852",23.15,-0.0008631851532154844
103,373,398,2016-05-10,TJEA15,80,"1,850",23.12,-0.001295896328293633
104,374,397,2016-05-12,TJEA15,60,"1,386",23.1,-0.0008650519031141446
105,375,396,2016-05-13,TJEA15,40,923,23.08,-0.0008658008658010141
106,376,395,2016-05-17,TJEA15,40,922,23.05,-0.0012998266897745747
107,377,394,2016-05-20,TJEA15,60,"1,384",23.06,0.0004338394793925726
108,378,393,2016-05-25,TJEA15,80,"1,840",23.0,-0.002601908065914982
109,379,392,2016-05-26,TJEA15,60,"1,381",23.01,0.00043478260869567187
110,380,391,2016-06-02,TJEA15,80,"1,844",23.05,0.0017383746197305872
111,381,390,2016-06-03,TJEA15,"10,000","210,000",21.0,-0.08893709327548804
112,382,389,2016-06-07,TJEA15,80,"1,676",20.95,-0.0023809523809523725
113,383,388,2016-06-14,TJEA15,100,"2,100",21.0,0.0023866348448686736
114,384,387,2016-06-15,TJEA15,80,"1,684",21.05,0.0023809523809523725
115,385,386,2016-06-17,TJEA15,100,"1,900",19.0,-0.09738717339667458
116,386,425,2016-06-22,TJEA15,"4,480","78,400",17.5,-0.07894736842105265
117,387,424,2016-06-23,TJEA15,"5,323","100,903",18.96,0.08342857142857141
118,388,423,2016-06-24,TJEA15,"60,753","850,542",14.0,-0.2616033755274262
119,389,422,2016-06-27,TJEA15,80,"1,264",15.8,0.12857142857142856
120,390,421,2016-06-28,TJEA15,60,876,14.6,-0.07594936708860767
121,391,420,2016-06-29,TJEA15,100,"1,400",14.0,-0.041095890410958846
122,392,419,2016-06-30,TJEA15,"191,872","1,343,104",7.0,-0.5
